s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
0.0000000, 89656.5551642, 43128.7560551, -1.9347684, -0.0478546, 9.8512720, -0.9000000
0.9584089, 89656.2634235, 43127.8431286, -1.9776509, -0.0765731, 9.7633203, -0.9000000
1.8789909, 89655.9093152, 43126.9933765, -2.0692800, -0.1114097, 9.6780874, -0.9000000
2.7973519, 89655.4624050, 43126.1910933, -2.1728604, -0.1195492, 9.5923056, -0.0940301
3.7319568, 89654.9100128, 43125.4372040, -2.2796712, -0.1197780, 9.5831396, 0.6000000
4.6742470, 89654.2668250, 43124.7485674, -2.3855733, -0.1169166, 9.6419558, 0.6000000
5.6319701, 89653.5345328, 43124.1313304, -2.4901268, -0.1092609, 9.7013700, 0.6000000
6.5862333, 89652.7429944, 43123.5983338, -2.5847969, -0.0943285, 9.7602098, 0.6000000
7.5303055, 89651.9171603, 43123.1408731, -2.6632275, -0.0715017, 9.8180743, 0.6000000
8.4872412, 89651.0506378, 43122.7348377, -2.7174143, -0.0681072, 9.8763812, 0.6000000
9.4592146, 89650.1536245, 43122.3605392, -2.7914291, -0.0861419, 9.9352541, 0.6000000
10.3971439, 89649.2643713, 43122.0623109, -2.8772041, -0.0822139, 9.9917360, 0.0858740
11.3590830, 89648.3373325, 43121.8055504, -2.9439995, -0.0758876, 10.0000000, 0.0000000
12.3540489, 89647.3621626, 43121.6080645, -3.0206336, -0.0831960, 10.0000000, 0.0000000
13.3181093, 89646.4042044, 43121.4997657, -3.1011850, -0.0866415, 10.0000000, 0.0000000
14.2860898, 89645.4365384, 43121.4750934, -3.1832652, -0.0889373, 10.0000000, 0.0000000
15.2530885, 89644.4716662, 43121.5391870, -3.2682516, -0.0891697, 10.0000000, 0.0000000
16.2208971, 89643.5169462, 43121.6978167, -3.3507201, -0.0847429, 10.0000000, 0.0000000
17.1831590, 89642.5866672, 43121.9438427, -3.4269699, -0.0780310, 10.0000000, 0.0000000
18.1418114, 89641.6842062, 43122.2672288, -3.4961695, -0.0699109, 10.0000000, 0.0000000
19.1107815, 89640.7988036, 43122.6608852, -3.5574296, -0.0628898, 10.0000000, 0.0000000
20.0841531, 89639.9357922, 43123.1110671, -3.6143905, -0.0585711, 10.0000000, 0.0000000
21.0481309, 89639.1060207, 43123.6017119, -3.6680319, -0.0541059, 10.0000000, 0.0000000
22.0315928, 89638.2826263, 43124.1395027, -3.7174332, -0.0491148, 10.0000000, 0.0000000
23.0160662, 89637.4790341, 43124.7082095, -3.7627537, -0.0443703, 10.0000000, 0.0000000
23.9865312, 89636.7046405, 43125.2931172, -3.8034459, -0.0398972, 10.0000000, 0.0000000
24.9626698, 89635.9395918, 43125.8993737, -3.8405847, -0.0362874, 10.0000000, 0.0000000
25.9535939, 89635.1751946, 43126.5299509, -3.8750074, -0.0319126, 10.0000000, 0.0000000
26.9601833, 89634.4089725, 43127.1827341, -3.9041126, -0.0276512, 10.0000000, 0.0000000
27.9302209, 89633.6796337, 43127.8222948, -3.9297370, -0.0266340, 10.0000000, 0.0000000
28.9225758, 89632.9456135, 43128.4901140, -3.9562507, -0.0275146, 10.0000000, 0.0000000
29.9250590, 89632.2207708, 43129.1826280, -3.9837121, -0.0272231, 10.0000000, 0.0000000
30.9089022, 89631.5305689, 43129.8837476, -4.0092623, -0.0247328, 10.0000000, 0.0000000
