s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
0.0000000, 89633.1754619, 43127.5211332, 2.3874625, -0.0163527, 3.9381797, 0.2882563
0.6579330, 89632.6959160, 43127.9715902, 2.3740144, -0.0194635, 5.2689644, 0.3843558
1.3213280, 89632.2247269, 43128.4385740, 2.3481439, -0.0220206, 6.6099129, 0.4716258
1.9884507, 89631.7627753, 43128.9198779, 2.3263042, -0.0244930, 6.6560663, 0.4547789
2.6608190, 89631.3063336, 43129.4135783, 2.3100840, -0.0238584, 6.7008759, 0.4470212
3.3373944, 89630.8539303, 43129.9166543, 2.2969303, -0.0215481, 6.7449461, 0.4459315
4.0518739, 89630.3827130, 43130.4537160, 2.2851848, -0.0181103, 6.7894130, 0.4475530
4.7034338, 89629.9589785, 43130.9486699, 2.2732881, -0.0156207, 6.8340783, 0.4413406
5.3932213, 89629.5160522, 43131.4774639, 2.2637262, -0.0137516, 6.8776544, 0.4500491
6.0883998, 89629.0742786, 43132.0142219, 2.2544734, -0.0120289, 6.9267751, 0.4532921
6.9261578, 89628.5477858, 43132.6658689, 2.2456478, -0.0105694, 6.9739703, 0.4276497
7.6389505, 89628.1055360, 43133.2248757, 2.2374374, -0.0095947, 7.0179626, 0.4022999
8.3508029, 89627.6668600, 43133.7854979, 2.2332655, -0.0091556, 7.0598383, 0.4132809
9.0564537, 89627.2336796, 43134.3425416, 2.2291582, -0.0090371, 7.1040046, 0.4144627
9.7702256, 89626.7984290, 43134.9082512, 2.2232006, -0.0088751, 7.1421103, 0.3781838
10.4888434, 89626.3640827, 43135.4807499, 2.2160169, -0.0086464, 7.1780898, 0.3631714
11.2112771, 89625.9318234, 43136.0595956, 2.2080535, -0.0084096, 7.2146093, 0.3685267
11.9368774, 89625.5025198, 43136.6445692, 2.2001406, -0.0078525, 7.2517228, 0.3610003
12.6698272, 89625.0733054, 43137.2386992, 2.1936824, -0.0071367, 7.2865282, 0.3501102
13.4023540, 89624.6475907, 43137.8348222, 2.1897490, -0.0064890, 7.3215325, 0.3807637
14.1385475, 89624.2211801, 43138.4349513, 2.1875392, -0.0058887, 7.3609368, 0.4108163
14.8782712, 89623.7939484, 43139.0388256, 2.1850390, -0.0052216, 7.4021214, 0.4125400
15.6224751, 89623.3659346, 43139.6476306, 2.1813602, -0.0046643, 7.4440054, 0.4331379
16.3716409, 89622.9377576, 43140.2623775, 2.1761132, -0.0043892, 7.4892417, 0.4503851
17.1208500, 89622.5133294, 43140.8797712, 2.1712279, -0.0042695, 7.5338191, 0.4263411
17.8797199, 89622.0856964, 43141.5066792, 2.1682969, -0.0041902, 7.5745528, 0.4006917
18.6428751, 89621.6570723, 43142.1380960, 2.1663729, -0.0039452, 7.6138700, 0.3840275
19.4086467, 89621.2279899, 43142.7723630, 2.1648461, -0.0034662, 7.6505160, 0.3398423
20.1778269, 89620.7979269, 43143.4100807, 2.1627598, -0.0030770, 7.6818241, 0.3047224
20.9459345, 89620.3701973, 43144.0480750, 2.1592990, -0.0030469, 7.7121984, 0.3054981
21.7261133, 89619.9384498, 43144.6979005, 2.1561602, -0.0036345, 7.7429317, 0.2940490
22.4995660, 89619.5118121, 43145.3430433, 2.1540033, -0.0049480, 7.7709528, 0.2774288
23.2810308, 89619.0821517, 43145.9957907, 2.1523369, -0.0065535, 7.7985769, 0.2932418
24.0643247, 89618.6522717, 43146.6505826, 2.1493414, -0.0080457, 7.8292044, 0.3320147
24.8508789, 89618.2237513, 43147.3101565, 2.1423365, -0.0096016, 7.8639485, 0.3491146
25.6447460, 89617.7973864, 43147.9798117, 2.1310907, -0.0117470, 7.8984105, 0.3773481
26.4444464, 89617.3768915, 43148.6600358, 2.1186767, -0.0145022, 7.9375860, 0.3962355
27.2426320, 89616.9650951, 43149.3437930, 2.1075890, -0.0174352, 7.9743474, 0.3808781
28.0445491, 89616.5586386, 43150.0350702, 2.0957955, -0.0202396, 8.0119471, 0.3531852
28.8502264, 89616.1593661, 43150.7348540, 2.0794937, -0.0227376, 8.0452456, 0.3282750
29.6638955, 89615.7699896, 43151.4493071, 2.0597396, -0.0263194, 8.0782342, 0.3110910
30.4755460, 89615.3960032, 43152.1696617, 2.0357713, -0.0320237, 8.1083534, 0.2980051
31.3083856, 89615.0326689, 43152.9190681, 2.0084661, -0.0391482, 8.1389596, 0.2838717
32.1702705, 89614.6777939, 43153.7045039, 1.9809753, -0.0472000, 8.1650668, 0.2489540
32.9476449, 89614.3790486, 43154.4221823, 1.9432548, -0.0553113, 8.1873113, 0.2022702
33.7684024, 89614.0963566, 43155.1927198, 1.8943096, -0.0635439, 8.2045172, 0.1522690
34.5902188, 89613.8570812, 43155.9789319, 1.8326308, -0.0729371, 8.2171605, 0.1040997
35.4126315, 89613.6709831, 43156.7800125, 1.7650257, -0.0824022, 8.2251139, 0.0442324
36.2357676, 89613.5396568, 43157.5926049, 1.6949322, -0.0898979, 8.2260628, -0.0087411
37.0587359, 89613.4672996, 43158.4123861, 1.6188399, -0.0952178, 8.2232367, -0.0477089
37.8811980, 89613.4606981, 43159.2348218, 1.5335382, -0.1013382, 8.2159273, -0.0934482
38.7081145, 89613.5286755, 43160.0589395, 1.4439461, -0.1107388, 8.2044468, -0.1528533
39.5331415, 89613.6694782, 43160.8718626, 1.3572764, -0.1210342, 8.1854985, -0.2347348
40.3563746, 89613.8776349, 43161.6683447, 1.2715590, -0.1317410, 8.1581488, -0.3467498
41.1626850, 89614.1493875, 43162.4274804, 1.1593329, -0.1437155, 8.1183528, -0.4826708
41.9757566, 89614.5238370, 43163.1491957, 1.0294882, -0.1582589, 8.0648103, -0.5831959
42.7776614, 89614.9798579, 43163.8088139, 0.8995238, -0.1747622, 8.0031520, -0.6751230
43.5635597, 89615.5092039, 43164.3897002, 0.7547449, -0.1884110, 7.9315622, -0.7299013
44.3506130, 89616.1222748, 43164.8832556, 0.6008869, -0.1929023, 7.8577457, -0.6840282
45.1202655, 89616.7893450, 43165.2671597, 0.4301657, -0.1936396, 7.7928212, -0.5720966
45.8996184, 89617.5242746, 43165.5265234, 0.2599347, -0.1923982, 7.7400252, -0.4777666
46.6675134, 89618.2798430, 43165.6635600, 0.0943930, -0.1846980, 7.6949259, -0.3602259
47.5860692, 89619.1981487, 43165.6849962, -0.0451826, -0.1723004, 7.6651147, -0.2296693
48.3502858, 89619.9561551, 43165.5877683, -0.1850074, -0.1572536, 7.6465682, -0.1539252
49.1051360, 89620.6887997, 43165.4060247, -0.2948326, -0.1417895, 7.6332707, -0.0980826
49.8686209, 89621.4070578, 43165.1471532, -0.3914343, -0.1301250, 7.6266136, -0.0338037
50.6317971, 89622.0985266, 43164.8241846, -0.4806585, -0.1190038, 7.6264738, 0.0222941
51.3958101, 89622.7599112, 43164.4417104, -0.5667300, -0.1064683, 7.6310003, 0.0713351
52.1615061, 89623.3879239, 43164.0036576, -0.6470355, -0.0966418, 7.6406965, 0.1195624
52.9282379, 89623.9817156, 43163.5185916, -0.7188558, -0.0884446, 7.6548176, 0.1532350
53.6971249, 89624.5429067, 43162.9929950, -0.7824579, -0.0809512, 7.6714262, 0.1789082
54.4680439, 89625.0732360, 43162.4334711, -0.8367987, -0.0732431, 7.6905903, 0.2146946
55.2345615, 89625.5724343, 43161.8517923, -0.8857285, -0.0655850, 7.7139496, 0.2555686
56.0044406, 89626.0450708, 43161.2440681, -0.9356499, -0.0579895, 7.7416532, 0.2829824
56.7848033, 89626.4918823, 43160.6042827, -0.9823545, -0.0516984, 7.7708174, 0.3016422
57.5692724, 89626.9134610, 43159.9427216, -1.0214143, -0.0464519, 7.8021052, 0.2918767
58.3561372, 89627.3122384, 43159.2643907, -1.0541085, -0.0413448, 7.8294123, 0.2588816
