s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
0.0000000, 89632.7557780, 43127.8888443, 2.4188864, -0.0350915, 7.8289102, -1.6000000
0.7010050, 89632.2357538, 43128.3589062, 2.3944984, -0.0344537, 7.4014821, -1.6000000
1.4020099, 89631.7271965, 43128.8413518, 2.3706342, -0.0335933, 7.0739503, -1.6000000
2.1030149, 89631.2301536, 43129.3356533, 2.3474516, -0.0325138, 6.6656152, -1.6000000
2.8040198, 89630.7444718, 43129.8411239, 2.3250976, -0.0312256, 6.7129767, 0.4498870
3.5050248, 89630.2699928, 43130.3571266, 2.3037189, -0.0297412, 6.7594397, 0.4509300
4.2060298, 89629.8063565, 43130.8828947, 2.2834431, -0.0280791, 6.8063723, 0.4479706
4.9070347, 89629.3531433, 43131.4176756, 2.2643879, -0.0262593, 6.8515826, 0.4420011
5.6080397, 89628.9098474, 43131.9607077, 2.2466574, -0.0243039, 6.8966874, 0.4588443
6.3090446, 89628.4758761, 43132.5112219, 2.2303405, -0.0222358, 6.9447262, 0.4624385
7.0100496, 89628.0505287, 43133.0684277, 2.2155053, -0.0200784, 6.9899112, 0.4346019
7.7110546, 89627.6330591, 43133.6315615, 2.2022064, -0.0178541, 7.0317720, 0.4211642
8.4120595, 89627.2226650, 43134.1998738, 2.1904832, -0.0155842, 7.0737635, 0.4262769
9.1130645, 89626.8185034, 43134.7726366, 2.1803613, -0.0132884, 7.1161384, 0.4055748
9.8140694, 89626.4197023, 43135.3491456, 2.1718552, -0.0109847, 7.1535546, 0.3749749
10.5150744, 89626.0253479, 43135.9287063, 2.1649609, -0.0086893, 7.1895236, 0.3703276
11.2160794, 89625.6345286, 43136.5106574, 2.1596673, -0.0064163, 7.2256677, 0.3708643
11.9170843, 89625.2463326, 43137.0943621, 2.1559552, -0.0041785, 7.2613799, 0.3617779
12.6180893, 89624.8598519, 43137.6792043, 2.1537989, -0.0019870, 7.2954188, 0.3598361
13.3190942, 89624.4741861, 43138.2645844, 2.1531572, 0.0001487, 7.3304329, 0.3859535
14.0200992, 89624.0884619, 43138.8499260, 2.1539916, 0.0022199, 7.3691299, 0.4124622
14.7211042, 89623.7018293, 43139.4346678, 2.1562532, 0.0042191, 7.4087932, 0.4243886
15.4221091, 89623.3134728, 43140.0182658, 2.1598884, 0.0061396, 7.4493244, 0.4469770
16.1231141, 89622.9226108, 43140.6001883, 2.1648408, 0.0079754, 7.4927965, 0.4591933
16.8241190, 89622.5285025, 43141.1799167, 2.1710496, 0.0097211, 7.5351229, 0.4367537
17.5251240, 89622.1304627, 43141.7569522, 2.1784473, 0.0113720, 7.5739438, 0.4108468
18.2261290, 89621.7278524, 43142.3308076, 2.1867298, 0.0111237, 7.6110655, 0.3880042
18.9271339, 89621.3208524, 43142.9015589, 2.1934030, 0.0079493, 7.6453144, 0.3483869
19.6281389, 89620.9106757, 43143.4700325, 2.1979079, 0.0049266, 7.6748617, 0.3172537
20.3291438, 89620.4985351, 43144.0370844, 2.2003350, 0.0020130, 7.7031858, 0.3113235
21.0301488, 89620.0855924, 43144.6035526, 2.2007465, -0.0008309, 7.7314426, 0.3062662
21.7311538, 89619.6729785, 43145.1702603, 2.1991781, -0.0036420, 7.7586441, 0.2895699
22.4321587, 89619.2618127, 43145.7380191, 2.1956403, -0.0064556, 7.7836937, 0.2832748
23.1331637, 89618.8532215, 43146.3076330, 2.1901194, -0.0093058, 7.8095948, 0.3028915
23.8341686, 89618.4483567, 43146.8799005, 2.1825779, -0.0122264, 7.8379920, 0.3363201
24.5351736, 89618.0484139, 43147.4556173, 2.1729548, -0.0152517, 7.8696673, 0.3601506
25.2361786, 89617.6546519, 43148.0355775, 2.1611649, -0.0184159, 7.9020622, 0.3828566
25.9371835, 89617.2684291, 43148.6205833, 2.1470939, -0.0217549, 7.9374976, 0.3922618
26.6381885, 89616.8911808, 43149.2114135, 2.1306113, -0.0253040, 7.9712486, 0.3769477
27.3391934, 89616.5244755, 43149.8088413, 2.1115583, -0.0290988, 8.0037014, 0.3579745
28.0401984, 89616.1700250, 43150.4136166, 2.0897527, -0.0331737, 8.0338651, 0.3431624
28.7412034, 89615.8297818, 43151.0264927, 2.0649755, -0.0375608, 8.0635017, 0.3282511
29.4422083, 89615.5057796, 43151.6481019, 2.0370118, -0.0422832, 8.0908567, 0.3159117
30.1432133, 89615.2003777, 43152.2790507, 2.0056121, -0.0473544, 8.1181654, 0.3039270
30.8442182, 89614.9160562, 43152.9197680, 1.9705442, -0.0527667, 8.1432697, 0.2776940
31.5452232, 89614.6556976, 43153.5705820, 1.9315616, -0.0584869, 8.1659069, 0.2481052
32.2462282, 89614.4222314, 43154.2315086, 1.8884844, -0.0644398, 8.1858060, 0.2101244
32.9472331, 89614.2188472, 43154.9022909, 1.8411890, -0.0705004, 8.2018440, 0.1655249
33.6482381, 89614.0488472, 43155.5822884, 1.7896597, -0.0764837, 8.2140600, 0.1217897
34.3492430, 89613.9155230, 43156.2704038, 1.7340336, -0.0821423, 8.2226017, 0.0739676
35.0502480, 89613.8219979, 43156.9650353, 1.6746405, -0.0871783, 8.2266539, 0.0229539
35.7512530, 89613.7710336, 43157.6640676, 1.6120290, -0.0912714, 8.2265080, -0.0178388
36.4522579, 89613.7648188, 43158.3649183, 1.5469672, -0.0941243, 8.2236181, -0.0555227
37.1532629, 89613.8047678, 43159.0646511, 1.4804077, -0.0955166, 8.2170557, -0.0975717
37.8542678, 89613.8913655, 43159.7601516, 1.4134164, -0.0953521, 8.2069941, -0.1443079
38.5552728, 89614.0241440, 43160.4483348, 1.3470753, -0.0936791, 8.1924388, -0.2042171
39.2562777, 89614.2019977, 43161.1262705, 1.2812331, -0.0960230, 8.1720955, -0.2872306
39.9572827, 89614.4251982, 43161.7906377, 1.2110199, -0.1052096, 8.1432320, -0.3955574
40.6582877, 89614.6969244, 43162.4366388, 1.1323834, -0.1202173, 8.1040906, -0.5270872
41.3592926, 89615.0223849, 43163.0572318, 1.0408192, -0.1422750, 8.0521765, -0.6287605
42.0602976, 89615.4081535, 43163.6421141, 0.9309031, -0.1729044, 7.9947705, -0.7017584
42.7613025, 89615.8619747, 43164.1756975, 0.7962626, -0.2127053, 7.9292884, -0.7545101
43.4623075, 89616.3900611, 43164.6354986, 0.6313570, -0.2578660, 7.8615537, -0.7243628
44.1633125, 89616.9917818, 43164.9929368, 0.4369393, -0.2860627, 7.8002925, -0.6198781
44.8643174, 89617.6512510, 43165.2276319, 0.2523279, -0.2400380, 7.7502977, -0.5177845
45.5653224, 89618.3410539, 43165.3484698, 0.0995588, -0.1972041, 7.7067609, -0.4087942
46.2663273, 89619.0411650, 43165.3727375, -0.0265066, -0.1641971, 7.6760367, -0.2791493
46.9673323, 89619.7395307, 43165.3159677, -0.1330228, -0.1412690, 7.6558480, -0.1907170
47.6683373, 89620.4288771, 43165.1900860, -0.2265887, -0.1270021, 7.6411609, -0.1362951
48.3693422, 89621.1042428, 43165.0030572, -0.3128539, -0.1203566, 7.6308763, -0.0839067
49.0703472, 89621.7614001, 43164.7596234, -0.3966196, -0.1184989, 7.6257669, -0.0248779
49.7713521, 89622.3961122, 43164.4625182, -0.4784528, -0.1146112, 7.6263090, 0.0289040
50.4723571, 89623.0049854, 43164.1154964, -0.5568520, -0.1087964, 7.6310730, 0.0763525
51.1733621, 89623.5857366, 43163.7231833, -0.6306815, -0.1016594, 7.6403166, 0.1217495
51.8743670, 89624.1370668, 43163.2904604, -0.6992153, -0.0938075, 7.6533822, 0.1554006
52.5753720, 89624.6587997, 43162.8224464, -0.7621509, -0.0857590, 7.6687434, 0.1787094
53.2763769, 89625.1515183, 43162.3239486, -0.8194972, -0.0778915, 7.6860072, 0.2081485
53.9773819, 89625.6162381, 43161.7992282, -0.8714558, -0.0704480, 7.7066575, 0.2462777
54.6783869, 89626.0545194, 43161.2522132, -0.9183919, -0.0635559, 7.7307463, 0.2800869
55.3793918, 89626.4679950, 43160.6861992, -0.9607067, -0.0572626, 7.7573798, 0.3026789
56.0803968, 89626.8583689, 43160.1040000, -0.9988124, -0.0515630, 7.7853718, 0.3109905
56.7814017, 89627.2274575, 43159.5080704, -1.0331235, -0.0464169, 7.8133035, 0.2897302
57.4824067, 89627.5769611, 43158.9004395, -1.0640075, -0.0417688, 7.8372861, 0.2539796
58.1834117, 89627.9085188, 43158.2828265, -1.0917904, -0.0375548, 7.8586727, 0.2508285
58.8844166, 89628.2236559, 43157.6566707, -1.1167740, -0.0338740, 7.8819705, 0.2827132
59.5854216, 89628.5238409, 43157.0232075, -1.1393215, -0.0304501, 7.9088884, 0.3301806
60.2864265, 89628.8104494, 43156.3834837, -1.1594529, -0.0269800, 7.9404177, 0.3919157
60.9874315, 89629.0849182, 43155.7384552, -1.1771429, -0.0234824, 7.9779883, 0.4433732
61.6884365, 89629.3487324, 43155.0889936, -1.1923752, -0.0199686, 8.0182221, 0.4530264
62.3894414, 89629.6034140, 43154.4358944, -1.2051354, -0.0164431, 8.0570877, 0.4381320
63.0904464, 89629.8505608, 43153.7799051, -1.2154220, -0.0129043, 8.0943520, 0.4128037
63.7914513, 89630.0917702, 43153.1217080, -1.2232240, -0.0093457, 8.1284863, 0.3868193
64.4924563, 89630.3286605, 43152.4619430, -1.2285205, -0.0057566, 8.1609753, 0.3746435
65.1934613, 89630.5628856, 43151.8012266, -1.2312826, -0.0021228, 8.1927557, 0.3799055
65.8944662, 89630.7961321, 43151.1401638, -1.2314808, 0.0015721, 8.2258946, 0.3934018
66.5954712, 89631.0301082, 43150.4793591, -1.2290627, 0.0053464, 8.2597104, 0.4054597
67.2964761, 89631.2665677, 43149.8194395, -1.2239609, 0.0092192, 8.2946190, 0.4210824
67.9974811, 89631.5072804, 43149.1610606, -1.2161109, 0.0132088, 8.3307824, 0.4373826
68.6984861, 89631.7540993, 43148.5049481, -1.2054106, 0.0173328, 8.3681218, 0.4276591
69.3994910, 89632.0088573, 43147.8518795, -1.1917757, 0.0216039, 8.4023305, 0.3981831
70.1004960, 89632.2735046, 43147.2027584, -1.1750851, 0.0260304, 8.4344672, 0.3807986
70.8015009, 89632.5499289, 43146.5585681, -1.1552447, 0.0306108, 8.4655375, 0.3681836
71.5025059, 89632.8401399, 43145.9204744, -1.1321366, 0.0353325, 8.4953561, 0.3523265
72.2035109, 89633.1460635, 43145.2897689, -1.1056783, 0.0401661, 8.5235995, 0.3404953
72.9045158, 89633.4696036, 43144.6679229, -1.0758096, 0.0450618, 8.5512824, 0.3422480
73.6055208, 89633.8126138, 43144.0566074, -1.0425084, 0.0499461, 8.5796317, 0.3505845
74.3065257, 89634.1768410, 43143.4576992, -1.0058101, 0.0547184, 8.6084898, 0.3478024
75.0075307, 89634.5637461, 43142.8731946, -0.9658436, 0.0592527, 8.6361949, 0.3285637
75.7085357, 89634.9745618, 43142.3052503, -0.9228257, 0.0634023, 8.6617527, 0.3033018
76.4095406, 89635.4101703, 43141.7561000, -0.8770811, 0.0670095, 8.6852176, 0.2555253
77.1105456, 89635.8710593, 43141.2279954, -0.8290428, 0.0699212, 8.7029417, 0.1598370
77.8115505, 89636.3572833, 43140.7231277, -0.7792438, 0.0720064, 8.7109298, 0.0396327
78.5125555, 89636.8682914, 43140.2433669, -0.7283009, 0.0731808, 8.7093114, -0.0703860
79.2135605, 89637.4032290, 43139.7904437, -0.6768652, 0.0734105, 8.6996154, -0.1546395
79.9145654, 89637.9606921, 43139.3655505, -0.6255910, 0.0727283, 8.6844258, -0.1966801
80.6155704, 89638.5391143, 43138.9696579, -0.5748918, 0.0728031, 8.6679090, -0.1892574
81.3165753, 89639.1370597, 43138.6039308, -0.5224678, 0.0772501, 8.6538578, -0.1460398
82.0175803, 89639.7539638, 43138.2712055, -0.4658883, 0.0847011, 8.6442830, -0.1077268
82.7185853, 89640.3895648, 43137.9758113, -0.4029244, 0.0955609, 8.6364107, -0.1319292
83.4195902, 89641.0435503, 43137.7238214, -0.3309419, 0.1105632, 8.6228967, -0.2539637
84.1205952, 89641.7150965, 43137.5234742, -0.2467020, 0.1306838, 8.5951775, -0.4539558
84.8216001, 89642.4021035, 43137.3856018, -0.1463004, 0.1568330, 8.5489555, -0.7174131
85.5226051, 89643.0999793, 43137.3242342, -0.0253937, 0.1889931, 8.4776920, -0.9993678
86.2236101, 89643.7996553, 43137.3556582, 0.1194311, 0.2242485, 8.3839206, -1.1827484
86.9246150, 89644.4859891, 43137.4945302, 0.2796953, 0.2263933, 8.2801893, -1.2538095
87.6256200, 89645.1417950, 43137.7401147, 0.4361262, 0.2200413, 8.1719287, -1.2639380
88.3266249, 89645.7520757, 43138.0836221, 0.5886120, 0.2154250, 8.0636537, -1.1959515
89.0276299, 89646.3036772, 43138.5151318, 0.7388453, 0.2137201, 7.9642893, -1.0815081
89.7286349, 89646.7846047, 43139.0242222, 0.8889738, 0.2150685, 7.8735411, -1.0452312
90.4296398, 89647.1835296, 43139.5998084, 1.0409085, 0.2186603, 7.7784360, -1.0541560
91.1306448, 89647.4910856, 43140.2290131, 1.1887053, 0.1983216, 7.6838091, -0.9349308
91.8316497, 89647.7085318, 43140.8949116, 1.3189218, 0.1737322, 7.6080904, -0.7207550
92.5326547, 89647.8432183, 43141.5824630, 1.4333291, 0.1535276, 7.5511796, -0.5052505
93.2336597, 89647.9030954, 43142.2805957, 1.5353671, 0.1384453, 7.5144162, -0.2385519
93.9346646, 89647.8948232, 43142.9812932, 1.6285889, 0.1283248, 7.5067354, 0.0530802
94.6356696, 89647.8235558, 43143.6784381, 1.7163637, 0.1228379, 7.5243156, 0.2210687
