s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
0.0000000, 89632.8007196, 43127.9815520, 2.2592037, 0.0510793, 8.4401920, -26.4307383
0.3963632, 89632.5462948, 43128.2854792, 2.2750261, 0.0310901, 8.4496918, 0.5336392
0.8415704, 89632.2560420, 43128.6230630, 2.2860179, 0.0194693, 8.4932344, 0.8658649
1.3334989, 89631.9319171, 43128.9931125, 2.2936618, 0.0122547, 8.5451833, 0.7613771
1.8699937, 89631.5758758, 43129.3944370, 2.2988681, 0.0075306, 8.5849325, 0.7036857
2.4488813, 89631.1898742, 43129.8258458, 2.3022240, 0.0042944, 8.6365453, 0.7364067
3.0679769, 89630.7758680, 43130.2861482, 2.3041232, 0.0019876, 8.6870865, 0.5632386
3.7250899, 89630.3358130, 43130.7741533, 2.3048372, 0.0002819, 8.7193770, 0.5563449
4.4180266, 89629.8716650, 43131.2886706, 2.3045574, -0.0010243, 8.7731214, 0.6123550
5.1445930, 89629.3853800, 43131.8285091, 2.3034208, -0.0020596, 8.8185041, 0.5471625
5.9025965, 89628.8789137, 43132.3924782, 2.3015259, -0.0029089, 8.8652276, 0.4930948
6.6898471, 89628.3542221, 43132.9793872, 2.2989434, -0.0036302, 8.9044892, 0.4033019
7.5041589, 89627.8132608, 43133.5880452, 2.2957229, -0.0042644, 8.9377898, 0.4163465
8.3433511, 89627.2579858, 43134.2172617, 2.2918980, -0.0048409, 8.9814692, 0.4834877
9.2052492, 89626.6903530, 43134.8658457, 2.2874897, -0.0053820, 9.0293410, 0.4387775
10.0876859, 89626.1123181, 43135.5326067, 2.2825080, -0.0059051, 9.0662858, 0.3903924
10.9885023, 89625.5258369, 43136.2163537, 2.2769542, -0.0064242, 9.1061153, 0.4865164
11.9055491, 89624.9328654, 43136.9158962, 2.2708215, -0.0069514, 9.1633170, 0.5597385
12.8366880, 89624.3353594, 43137.6300434, 2.2640958, -0.0074974, 9.2190204, 0.4430957
13.7797929, 89623.7352746, 43138.3576044, 2.2567561, -0.0080722, 9.2535030, 0.3873662
14.7327516, 89623.1345670, 43139.0973887, 2.2487743, -0.0086857, 9.2983482, 0.4800546
15.6934679, 89622.5351924, 43139.8482054, 2.2401155, -0.0093482, 9.3522540, 0.4548997
16.6598630, 89621.9391066, 43140.6088638, 2.2307373, -0.0100705, 9.3921544, 0.3538431
17.6298785, 89621.3482655, 43141.3781732, 2.2205897, -0.0108645, 9.4252334, 0.3266802
18.6014790, 89620.7646248, 43142.1549428, 2.2096141, -0.0117436, 9.4594471, 0.3216121
19.5726548, 89620.1901405, 43142.9379819, 2.1977424, -0.0127228, 9.4912942, 0.2662663
20.5414261, 89619.6267683, 43143.7260997, 2.1848960, -0.0138198, 9.5138964, 0.1985074
21.5058471, 89619.0764642, 43144.5181055, 2.1709846, -0.0150551, 9.5316406, 0.2170529
22.4640110, 89618.5411839, 43145.3128086, 2.1559045, -0.0164528, 9.5576582, 0.2263409
23.4140558, 89618.0228833, 43146.1090182, 2.1395363, -0.0180415, 9.5768462, 0.2504692
24.3541719, 89617.5235182, 43146.9055437, 2.1217432, -0.0198550, 9.6070643, 0.3171524
25.2826097, 89617.0450445, 43147.7011941, 2.1023682, -0.0219337, 9.6385277, 0.3716525
26.1976902, 89616.5894181, 43148.4947789, 2.0812310, -0.0243258, 9.6781186, 0.4865879
27.0978167, 89616.1585946, 43149.2851072, 2.0581245, -0.0270887, 9.7297344, 0.4799050
27.9814894, 89615.7545300, 43150.0709884, 2.0328113, -0.0302904, 9.7661706, -0.1130537
28.8473225, 89615.3791802, 43150.8512316, 2.0050195, -0.0340115, 9.7093849, -1.0209109
29.6940656, 89615.0345009, 43151.6246462, 1.9744383, -0.0383458, 9.5854741, -1.2583921
30.5206289, 89614.7224480, 43152.3900414, 1.9407144, -0.0434014, 9.4900371, -0.6340692
31.3261137, 89614.4449773, 43153.1462265, 1.9034493, -0.0492988, 9.4769009, 0.1065511
32.1098500, 89614.2040448, 43153.8920107, 1.8621980, -0.0561668, 9.5078636, 0.3938020
32.8714406, 89614.0016061, 43154.6262033, 1.8164727, -0.0641329, 9.5408991, 0.3919886
33.6108141, 89613.8396172, 43155.3476135, 1.7657522, -0.0733048, 9.5695451, 0.3443729
34.3282871, 89613.7200339, 43156.0550507, 1.7095014, -0.0837403, 9.5933390, 0.2202632
35.0246352, 89613.6448120, 43156.7473240, 1.6472067, -0.0953999, 9.6020320, 0.0595838
35.7011717, 89613.6159074, 43157.4232428, 1.5784295, -0.1080838, 9.6018621, 0.0120986
36.3598299, 89613.6352759, 43158.0816162, 1.5028838, -0.1213574, 9.6037142, 0.0005756
37.0032426, 89613.7048733, 43158.7212536, 1.4205356, -0.1344880, 9.6019402, -0.0855836
37.6348058, 89613.8266556, 43159.3409642, 1.3317126, -0.1464316, 9.5923455, -0.2208932
38.2587149, 89614.0025784, 43159.9395572, 1.2371993, -0.1559212, 9.5730144, -0.3463328
38.8799532, 89614.2345977, 43160.5158420, 1.1382818, -0.1616863, 9.5472835, -0.3883932
39.5042238, 89614.5246693, 43161.0686278, 1.0367030, -0.1627742, 9.5223479, -1.0049653
40.1378177, 89614.8747491, 43161.5967239, 0.9345118, -0.1588520, 9.4139472, -1.2807049
40.7874333, 89615.2867928, 43162.0989394, 0.8338300, -0.1503409, 9.3481701, -1.1717028
41.4589817, 89615.7617705, 43162.5736745, 0.7384808, -0.1332618, 9.2480472, -1.4060720
42.1515798, 89616.2941882, 43163.0166458, 0.6508775, -0.1206177, 9.1406842, -1.3698536
42.8609124, 89616.8759476, 43163.4224891, 0.5682595, -0.1130575, 9.0380030, -1.3838869
43.5821235, 89617.4989433, 43163.7858370, 0.4881229, -0.1097846, 8.9214734, -1.3177484
44.3101574, 89618.1550701, 43164.1013223, 0.4081984, -0.1103320, 8.8241724, -0.8622567
45.0400523, 89618.8362226, 43164.3635776, 0.3263416, -0.1145027, 8.7794345, -0.3450200
45.7672264, 89619.5342954, 43164.5672358, 0.2404439, -0.1222935, 8.7670167, -0.1366895
46.4877850, 89620.2411832, 43164.7069294, 0.1483838, -0.1337845, 8.7568653, -0.1621843
47.1988721, 89620.9487805, 43164.7772913, 0.0480408, -0.1489540, 8.7404920, -0.1088269
47.8990872, 89621.6489822, 43164.7729541, -0.0625813, -0.1673643, 8.7393086, 0.0294683
48.5889704, 89622.3336828, 43164.6885506, -0.1850674, -0.1876949, 8.7451775, 0.1029961
49.2715318, 89622.9947769, 43164.5187135, -0.3200979, -0.2072475, 8.7554684, 0.1552078
49.9527495, 89623.6241642, 43164.2580812, -0.4665756, -0.2170221, 8.7693482, 0.1891993
50.6425579, 89624.2163875, 43163.9043762, -0.6068899, -0.1883043, 8.7850453, 0.1971975
51.3526201, 89624.7729849, 43163.4634822, -0.7290885, -0.1558040, 8.8007709, 0.2072900
52.0912088, 89625.2966384, 43162.9426172, -0.8325904, -0.1251646, 8.8191611, 0.2645018
52.8631006, 89625.7900299, 43162.3489996, -0.9187200, -0.0989488, 8.8460510, 0.3347348
53.6702325, 89626.2558414, 43161.6898475, -0.9896120, -0.0776222, 8.8788914, 0.3278918
54.5123521, 89626.6967546, 43160.9723791, -1.0475178, -0.0606576, 8.9069732, 0.3040299
55.3875673, 89627.1154518, 43160.2038126, -1.0944698, -0.0472235, 8.9375027, 0.2915934
56.2927746, 89627.5146146, 43159.3913662, -1.1321652, -0.0365028, 8.9650705, 0.2498675
57.2239813, 89627.8969252, 43158.5422581, -1.1619559, -0.0278007, 8.9886970, 0.2722807
58.1765463, 89628.2650653, 43157.6637064, -1.1848808, -0.0205583, 9.0221017, 0.3886727
59.1453598, 89628.6217171, 43156.7629295, -1.2017081, -0.0143308, 9.0713973, 0.4858109
60.1249828, 89628.9695615, 43155.8471427, -1.2130054, -0.0091759, 9.1264156, 0.4925297
61.1106320, 89629.3109698, 43154.9225105, -1.2207368, -0.0065366, 9.1774811, 0.4029897
