s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
0.0000000,89635.5882136,43125.1215139,2.4352527,-0.0266767,8.9023020,0.2900545
0.5767145,89635.1494824,43125.4958326,2.4198747,-0.0396354,8.9210925,0.1310043
1.1541204,89634.7219503,43125.8839227,2.3895703,-0.0513071,8.9192500,-0.0335530
1.7334521,89634.3048006,43126.2859319,2.3605746,-0.0482306,8.9167410,-0.1289878
2.3156205,89633.8971377,43126.7015411,2.3335726,-0.0441976,8.9024480,-0.1240933
2.9010917,89633.4981096,43127.1299720,2.3089639,-0.0397626,8.9004650,-0.0009851
3.4898835,89633.1069905,43127.5700876,2.2868597,-0.0353810,8.9023180,0.2691187
4.0816666,89632.7231988,43128.0205441,2.2671660,-0.0313122,8.9361540,0.4013257
4.6759134,89632.3462600,43128.4799420,2.2496953,-0.0276254,8.9555830,0.2902046
5.2720429,89631.9757432,43128.9469405,2.2342591,-0.0242660,8.9747280,0.3562739
5.8695243,89631.6111955,43129.4203210,2.2207148,-0.0211396,9.0029663,0.4282006
6.4679303,89631.2521004,43129.8990071,2.2089676,-0.0181785,9.0316070,0.3750724
7.0669470,89630.8978682,43130.3820605,2.1989407,-0.0153752,9.0526939,0.2671555
7.6663583,89630.5478584,43130.8686682,2.1905375,-0.0127830,9.0669740,0.2331261
8.2660212,89630.2014216,43131.3581344,2.1836108,-0.0104899,9.0835240,0.2925747
8.8658425,89629.8579519,43131.8498804,2.1779539,-0.0085836,9.1056086,0.4652536
9.4657603,89629.5169303,43132.3434446,2.1733121,-0.0071192,9.1448250,0.4597624
10.0657337,89629.1779546,43132.8384836,2.1694113,-0.0061010,9.1659340,0.2695601
10.6657370,89628.8407459,43133.3347640,2.1659909,-0.0054755,9.1801150,0.2790423
11.2657499,89628.5051426,43133.8321430,2.1628405,-0.0051372,9.2024102,0.3087489
11.8657631,89628.1710619,43134.3305465,2.1598260,-0.0049571,9.2203769,0.2579570
12.4657727,89627.8384652,43134.8299370,2.1568919,-0.0048126,9.2359830,0.1983484
13.0657781,89627.5073195,43135.3302858,2.1540508,-0.0046092,9.2461480,0.0947194
13.6657809,89627.1775694,43135.8315525,2.1513608,-0.0042964,9.2482761,0.0585646
14.2657837,89626.8491217,43136.3336735,2.1488951,-0.0038707,9.2537470,0.1199205
14.8657885,89626.5218465,43136.8365619,2.1467159,-0.0033650,9.2638272,0.1788371
15.4657966,89626.1955875,43137.3401140,2.1448571,-0.0028304,9.2769131,0.2778608
