s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
0.0000000, 89632.9985828, 43128.6481257, 2.2975813, -0.0101491, 4.9186075, 0.1730606
0.8912488, 89632.4063743, 43129.3141689, 2.2889146, -0.0134839, 6.5680861, 0.2496936
1.7861200, 89631.8234155, 43129.9931045, 2.2690476, -0.0161505, 8.2264485, 0.2938740
2.7246781, 89631.2277717, 43130.7184318, 2.2486133, -0.0179507, 8.2521701, 0.2075290
3.5885762, 89630.6931640, 43131.3970440, 2.2269373, -0.0178688, 8.2693720, 0.2131972
4.5500656, 89630.1142308, 43132.1647017, 2.2060019, -0.0166637, 8.2989812, 0.2405776
5.5546115, 89629.5266976, 43132.9795128, 2.1902385, -0.0141677, 8.3243822, 0.1968178
6.5381823, 89628.9599844, 43133.7834081, 2.1809498, -0.0110884, 8.3456805, 0.1811095
7.5319984, 89628.3936767, 43134.6000880, 2.1721426, -0.0080144, 8.3679971, 0.1946993
8.5266823, 89627.8349982, 43135.4230548, 2.1659585, -0.0058303, 8.3927055, 0.1711536
9.4952523, 89627.2929929, 43136.2257740, 2.1632895, -0.0043614, 8.4094723, 0.1389653
10.5853747, 89626.6853616, 43137.1308437, 2.1622366, -0.0029027, 8.4262158, 0.1397234
11.5932932, 89626.1232149, 43137.9674384, 2.1594590, -0.0013539, 8.4434663, 0.1597597
12.6499261, 89625.5390258, 43138.8478907, 2.1552634, -0.0001634, 8.4654115, 0.1754292
13.6909952, 89624.9657984, 43139.7169333, 2.1545957, 0.0005013, 8.4865764, 0.1790293
14.7516817, 89624.3805427, 43140.6015415, 2.1574897, 0.0011907, 8.5092238, 0.1899046
15.7581685, 89623.8213927, 43141.4384209, 2.1614222, 0.0023163, 8.5320299, 0.1866559
16.5974179, 89623.3526889, 43142.1345935, 2.1645489, 0.0032877, 8.5523839, 0.1485335
17.5749994, 89622.8049215, 43142.9442949, 2.1665904, 0.0038305, 8.5651460, 0.1281929
18.4786338, 89622.2970148, 43143.6916810, 2.1701922, 0.0040861, 8.5799270, 0.1251390
19.3432010, 89621.8074048, 43144.4042527, 2.1745506, 0.0043813, 8.5913538, 0.1008196
20.3629131, 89621.2272410, 43145.2428366, 2.1786365, 0.0049156, 8.6009927, 0.0837722
21.2462084, 89620.7206095, 43145.9663938, 2.1837968, 0.0052654, 8.6096374, 0.1159510
22.2724291, 89620.1286525, 43146.8046752, 2.1883590, 0.0047006, 8.6276288, 0.1538672
23.1840572, 89619.5985033, 43147.5463002, 2.1952125, 0.0027863, 8.6449836, 0.1690064
24.2893052, 89618.9495459, 43148.4409663, 2.2016397, -0.0003338, 8.6654251, 0.2066769
25.1821884, 89618.4199615, 43149.1598409, 2.2060986, -0.0050469, 8.6895618, 0.2403888
26.0556760, 89617.9013448, 43149.8627046, 2.2026082, -0.0117440, 8.7170414, 0.2349196
26.8448158, 89617.4380089, 43150.5015014, 2.1912712, -0.0194721, 8.7397917, 0.2189180
27.9340596, 89616.8092317, 43151.3909346, 2.1707090, -0.0277606, 8.7643239, 0.2009817
28.9929388, 89616.2253913, 43152.2743119, 2.1313383, -0.0356667, 8.7848130, 0.1733605
30.0855548, 89615.6657047, 43153.2126939, 2.0825219, -0.0441394, 8.8054431, 0.1587646
31.1600303, 89615.1645712, 43154.1631479, 2.0283753, -0.0534239, 8.8234021, 0.1324884
32.1999428, 89614.7319844, 43155.1088152, 1.9713660, -0.0636276, 8.8374224, 0.0766447
33.2623503, 89614.3451110, 43156.0982791, 1.9131797, -0.0765178, 8.8422725, -0.0300778
34.1524857, 89614.0768112, 43156.9470170, 1.8381502, -0.0898433, 8.8301912, -0.1743089
35.2560512, 89613.8187348, 43158.0199818, 1.7497489, -0.1023659, 8.8007296, -0.3183633
36.3017170, 89613.6949080, 43159.0582900, 1.6246745, -0.1163809, 8.7546082, -0.4379497
37.2868427, 89613.7096161, 43160.0433060, 1.4832686, -0.1311788, 8.6962877, -0.5354274
38.3146221, 89613.8704240, 43161.0584273, 1.3412767, -0.1491578, 8.6275831, -0.6020253
39.3454981, 89614.1767566, 43162.0427370, 1.1945838, -0.1643920, 8.5546186, -0.6917254
40.3154949, 89614.6033785, 43162.9138785, 1.0353454, -0.1758453, 8.4714955, -0.8635440
41.1921448, 89615.1156296, 43163.6252954, 0.8773066, -0.1890504, 8.3646377, -0.9879730
41.9717112, 89615.6592035, 43164.1840898, 0.6911400, -0.1990697, 8.2520570, -1.0292394
43.0287526, 89616.5246878, 43164.7909451, 0.4990276, -0.2018049, 8.1329839, -1.0165753
43.9844763, 89617.4141507, 43165.1406072, 0.2656563, -0.1958156, 8.0241300, -0.8707816
44.8867508, 89618.3062565, 43165.2756873, 0.0656939, -0.1818192, 7.9346659, -0.6063715
45.7429161, 89619.1621862, 43165.2556080, -0.1042578, -0.1680651, 7.8815760, -0.4018988
46.6757258, 89620.0801897, 43165.0900679, -0.2420911, -0.1533689, 7.8410396, -0.2738929
47.6331710, 89620.9936950, 43164.8033459, -0.3497780, -0.1343993, 7.8197999, -0.1496864
48.5611856, 89621.8495792, 43164.4446355, -0.4492124, -0.1183513, 7.8071857, -0.0928449
49.4893072, 89622.6633934, 43163.9984110, -0.5533728, -0.1051852, 7.7973008, -0.0653710
50.4418389, 89623.4474645, 43163.4575331, -0.6532998, -0.0954840, 7.7910571, -0.0011188
51.3662006, 89624.1519257, 43162.8590523, -0.7418854, -0.0881648, 7.7964003, 0.0694035
52.1808522, 89624.7284273, 43162.2834630, -0.8237729, -0.0803483, 7.8077035, 0.1204721
53.1995196, 89625.3968246, 43161.5147445, -0.8883363, -0.0700362, 7.8258284, 0.1724884
54.2266925, 89626.0180398, 43160.6967128, -0.9505714, -0.0585958, 7.8491858, 0.2202428
55.1772856, 89626.5458063, 43159.9060866, -1.0042683, -0.0469582, 7.8778584, 0.2176300
55.9698028, 89626.9533038, 43159.2263592, -1.0463938, -0.0378568, 7.9016267, 0.2092661
56.9267751, 89627.4216797, 43158.3918413, -1.0678350, -0.0308792, 7.9280566, 0.2231571
57.9166679, 89627.8917035, 43157.5206551, -1.0860243, -0.0234611, 7.9544566, 0.2341427
58.9758168, 89628.3765023, 43156.5789724, -1.1017783, -0.0161763, 7.9847385, 0.2449790
59.9447102, 89628.8083794, 43155.7116566, -1.1188244, -0.0114843, 8.0164088, 0.2515602
60.9985483, 89629.2598698, 43154.7594322, -1.1283480, -0.0091112, 8.0472179, 0.2540843
61.9052108, 89629.6477742, 43153.9399404, -1.1319425, -0.0071740, 8.0776753, 0.2642266
62.7949176, 89630.0231470, 43153.1332970, -1.1354946, -0.0049406, 8.1105145, 0.2494068
63.7591902, 89630.4295676, 43152.2588578, -1.1384134, -0.0030546, 8.1360708, 0.2103817
64.8049284, 89630.8654102, 43151.3082740, -1.1430205, -0.0022000, 8.1571363, 0.2286727
65.6754517, 89631.2245228, 43150.5152740, -1.1441724, -0.0015936, 8.1867929, 0.2695915
66.5732783, 89631.5971522, 43149.6984264, -1.1439747, 0.0000183, 8.2176040, 0.2650745
67.5847469, 89632.0149317, 43148.7772701, -1.1440445, 0.0030085, 8.2462488, 0.2586666
68.3690228, 89632.3404393, 43148.0637342, -1.1452483, 0.0067986, 8.2767077, 0.2866642
69.3585061, 89632.7471732, 43147.1617116, -1.1435719, 0.0106457, 8.3138942, 0.2977923
70.4522210, 89633.2035996, 43146.1677864, -1.1290139, 0.0146833, 8.3485505, 0.2606561
71.5573987, 89633.6872537, 43145.1740579, -1.1057792, 0.0218039, 8.3788187, 0.2302959
72.5994181, 89634.1664103, 43144.2487399, -1.0785006, 0.0313615, 8.4066894, 0.1965239
73.6197935, 89634.6619407, 43143.3567670, -1.0513513, 0.0392011, 8.4281463, 0.1553809
74.5743204, 89635.1466688, 43142.5344773, -1.0225523, 0.0487197, 8.4444712, 0.1199524
75.2712202, 89635.5225035, 43141.9476064, -0.9702086, 0.0609200, 8.4569181, 0.0805022
76.2687393, 89636.1039102, 43141.1370445, -0.9087380, 0.0749833, 8.4632661, 0.0159929
77.3977689, 89636.8288658, 43140.2715115, -0.8369372, 0.0940031, 8.4607346, -0.0566906
78.2769601, 89637.4477387, 43139.6470330, -0.7404154, 0.1083386, 8.4494694, -0.1593954
79.3136682, 89638.2416920, 43138.9803981, -0.6282433, 0.1182638, 8.4244500, -0.2648562
80.3008016, 89639.0809140, 43138.4606495, -0.4877707, 0.1327504, 8.3888979, -0.3728316
81.1296789, 89639.8416654, 43138.1315675, -0.3350160, 0.1516252, 8.3370609, -0.4878684
82.1707120, 89640.8430969, 43137.8471649, -0.2082502, 0.1648178, 8.2727850, -0.5812136
83.1558657, 89641.8191672, 43137.7136940, -0.0581446, 0.1758799, 8.2030249, -0.7205686
84.0885079, 89642.7515409, 43137.7360739, 0.1064158, 0.1838914, 8.1055832, -0.8485675
84.8889475, 89643.5356275, 43137.8970452, 0.3160968, 0.1895266, 8.0000579, -0.8580822
86.0325298, 89644.5909161, 43138.3376657, 0.4977003, 0.1942783, 7.9011162, -0.7923133
86.9178692, 89645.3063858, 43138.8591338, 0.7264851, 0.1969686, 7.8143427, -0.7376909
87.8832896, 89645.9684634, 43139.5617644, 0.9003305, 0.1965902, 7.7262980, -0.6389396
88.7198780, 89646.4213746, 43140.2651503, 1.0669374, 0.1958244, 7.6615854, -0.5273031
89.6851199, 89646.8366489, 43141.1364935, 1.2064761, 0.1898528, 7.6041656, -0.4470645
90.5181897, 89647.0597380, 43141.9391370, 1.3958659, 0.1747263, 7.5593765, -0.3568126
