s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
0.0000000, 89632.8289580, 43128.8698069, 2.2706184, -0.0168155, 8.1934657, 0.0929404
0.5006114, 89632.5081265, 43129.2540952, 2.2623462, -0.0162335, 8.1991373, 0.1228961
1.0012228, 89632.1904253, 43129.6409755, 2.2543679, -0.0156402, 8.2084546, 0.1807649
1.5018343, 89631.8757596, 43130.0303289, 2.2466889, -0.0150367, 8.2211591, 0.2159391
2.0024457, 89631.5640305, 43130.4220374, 2.2393141, -0.0144238, 8.2347209, 0.2207614
2.5030571, 89631.2551348, 43130.8159843, 2.2322479, -0.0138026, 8.2479677, 0.2010137
3.0036685, 89630.9489790, 43131.2120644, 2.2254958, -0.0131739, 8.2590922, 0.1740618
3.5042799, 89630.6454396, 43131.6101533, 2.2190599, -0.0125386, 8.2690429, 0.1941976
4.0048913, 89630.3444016, 43132.0101372, 2.2129432, -0.0118974, 8.2825771, 0.2406591
4.5055028, 89630.0457483, 43132.4119048, 2.2071483, -0.0112512, 8.2980990, 0.2466510
5.0061142, 89629.7493642, 43132.8153495, 2.2016782, -0.0106006, 8.3123009, 0.2220386
5.5067256, 89629.4551305, 43133.2203653, 2.1965357, -0.0099463, 8.3248110, 0.1953754
6.0073370, 89629.1629142, 43133.6268390, 2.1917211, -0.0092889, 8.3357699, 0.1889526
6.5079484, 89628.8725886, 43134.0346655, 2.1872358, -0.0086289, 8.3474787, 0.1980480
7.0085598, 89628.5840253, 43134.4437409, 2.1830810, -0.0079668, 8.3594954, 0.2052240
7.5091713, 89628.2971023, 43134.8539684, 2.1792594, -0.0073032, 8.3720285, 0.2120316
8.0097827, 89628.0116794, 43135.2652413, 2.1757701, -0.0066384, 8.3848216, 0.1925235
8.5103941, 89627.7276230, 43135.6774590, 2.1726133, -0.0059729, 8.3949895, 0.1551528
9.0110055, 89627.4447990, 43136.0905234, 2.1697893, -0.0053069, 8.4033032, 0.1414906
9.5116169, 89627.1630751, 43136.5043390, 2.1672993, -0.0046409, 8.4118270, 0.1419450
10.0122284, 89626.8823149, 43136.9188090, 2.1651432, -0.0039751, 8.4201776, 0.1368584
10.5128398, 89626.6023787, 43137.3338361, 2.1633199, -0.0033098, 8.4280806, 0.1356474
11.0134512, 89626.3231298, 43137.7493259, 2.1618290, -0.0026452, 8.4362723, 0.1457783
11.5140626, 89626.0444311, 43138.1651850, 2.1606703, -0.0019816, 8.4453605, 0.1631765
12.0146740, 89625.7661468, 43138.5813215, 2.1598447, -0.0013192, 8.4555938, 0.1812623
12.5152854, 89625.4881367, 43138.9976413, 2.1593502, -0.0006581, 8.4667975, 0.1875662
13.0158969, 89625.2102635, 43139.4140526, 2.1591859, 0.0000014, 8.4777469, 0.1818842
13.5165083, 89624.9323903, 43139.8304637, 2.1593509, 0.0006591, 8.4882518, 0.1853500
14.0171197, 89624.6543801, 43140.2467834, 2.1598446, 0.0013149, 8.4995830, 0.1981834
14.5177311, 89624.3760950, 43140.6629194, 2.1606672, 0.0019685, 8.5115686, 0.2039312
15.0183425, 89624.0974000, 43141.0787810, 2.1618161, 0.0026199, 8.5235423, 0.1994805
15.5189540, 89623.8181603, 43141.4942771, 2.1632901, 0.0032687, 8.5349721, 0.1899663
16.0195654, 89623.5382420, 43141.9093162, 2.1650879, 0.0039147, 8.5457997, 0.1697280
16.5201768, 89623.2575121, 43142.3238067, 2.1672081, 0.0045578, 8.5548331, 0.1381911
17.0207882, 89622.9758335, 43142.7376531, 2.1696507, 0.0051977, 8.5619532, 0.1266608
17.5213996, 89622.6930796, 43143.1507656, 2.1724125, 0.0058341, 8.5696265, 0.1350103
18.0220110, 89622.4091214, 43143.5630510, 2.1754917, 0.0064668, 8.5777077, 0.1286041
18.5226225, 89622.1238311, 43143.9744158, 2.1788864, 0.0070954, 8.5846194, 0.1114070
19.0232339, 89621.8370827, 43144.3847655, 2.1825945, 0.0077197, 8.5906853, 0.0996135
19.5238453, 89621.5487510, 43144.7940041, 2.1866140, 0.0083392, 8.5962149, 0.0910768
20.0244567, 89621.2587087, 43145.2020322, 2.1909432, 0.0089535, 8.6012802, 0.0844130
20.5250681, 89620.9668414, 43145.6087567, 2.1955783, 0.0095624, 8.6060289, 0.0939027
21.0256795, 89620.6730316, 43146.0140800, 2.2005166, 0.0101652, 8.6121915, 0.1265632
21.5262910, 89620.3771641, 43146.4179038, 2.2057550, 0.0107616, 8.6207247, 0.1527023
22.0269024, 89620.0791268, 43146.8201287, 2.2112756, 0.0109163, 8.6299049, 0.1583284
22.5275138, 89619.7790050, 43147.2208009, 2.2157786, 0.0070358, 8.6390712, 0.1649871
