s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
0.0000000,89656.8036175,43128.8719252,2.9152365,-0.0331650,9.4352427,-1.6000000
0.9990456,89656.5447252,43127.8654497,2.8555632,-0.0840208,9.2642786,-1.3856681
1.9980913,89656.2222262,43126.9414337,2.7477056,-0.1343932,9.1370904,-0.7795239
2.9971369,89655.7869433,43126.0722224,2.6050120,-0.1450822,9.0945994,-0.3877111
3.9961826,89655.2183893,43125.2522853,2.4677188,-0.1322576,9.0519090,0.1957055
4.9952282,89654.5412363,43124.5104996,2.3356223,-0.1327737,9.1374949,0.6509801
5.9942738,89653.7616370,43123.8558479,2.2068816,-0.1132750,9.1944816,0.7564192
6.9933195,89652.9254896,43123.3034467,2.1068061,-0.0866797,9.3014301,0.9900000
7.9923651,89652.0704164,43122.8387523,2.0339188,-0.0668978,9.4071628,0.9900000
8.9914108,89651.1857065,43122.4303826,1.9753492,-0.0500146,9.5117203,0.9900000
9.9904564,89650.2461430,43122.0508509,1.9387808,-0.0223470,9.6151408,0.9900000
10.9895020,89649.3482264,43121.7167936,1.9107124,-0.0440470,9.7174608,0.9900000
11.9885477,89648.3998121,43121.4093989,1.8534624,-0.0699064,9.8187145,0.9900000
12.9875933,89647.3818476,43121.1583971,1.7674554,-0.0938105,9.9189346,0.9900000
13.9866389,89646.3952112,43121.0098990,1.6731399,-0.0942791,10.0181523,0.9900000
14.9856846,89645.3923377,43120.9553454,1.5761949,-0.0999241,10.1163969,0.9900000
15.9847302,89644.3919496,43121.0019396,1.4700951,-0.1132285,10.2136965,0.6622053
16.9837759,89643.4009995,43121.1607165,1.3543807,-0.1116379,10.2463544,0.0608344
17.9828215,89642.4395519,43121.4270293,1.2488365,-0.0993093,10.2255905,0.3886291
18.9818671,89641.5121491,43121.7856791,1.1571288,-0.0849059,10.3218608,0.9900000
19.9809128,89640.6046079,43122.2283236,1.0799549,-0.0671144,10.4172416,0.9900000
20.9799584,89639.7276184,43122.7326502,1.0206592,-0.0505460,10.5117569,0.9900000
21.9790041,89638.8966940,43123.2684182,0.9779261,-0.0359771,10.6054299,0.9900000
22.9780497,89638.0666938,43123.8471802,0.9473449,-0.0263725,10.6982827,0.9900000
23.9770953,89637.2578933,43124.4434428,0.9253119,-0.0167940,10.7903366,0.9900000
24.9761410,89636.4863887,43125.0320039,0.9149638,-0.0040672,10.8816117,0.9900000
25.9751866,89635.7179915,43125.6243425,0.9137972,0.0006103,10.9721276,0.9900000
26.9742323,89634.9328717,43126.2288472,0.9160060,0.0036702,11.0619028,0.9900000
27.9732779,89634.1249499,43126.8463339,0.9203986,0.0017992,11.1509553,0.9900000
28.9723235,89633.3567172,43127.4326088,0.9153181,-0.0116230,11.2393022,0.9900000
29.9713692,89632.5597936,43128.0553646,0.8977154,-0.0229605,11.3269601,0.9900000
30.9704148,89631.7596685,43128.7115371,0.8682682,-0.0331458,11.4139448,0.9900000
31.9694604,89630.9996168,43129.3779602,0.8329446,-0.0371214,11.5002716,0.9900000
32.9685061,89630.2693478,43130.0685611,0.7925675,-0.0437454,11.5859551,0.9900000
33.9675517,89629.5851506,43130.7747921,0.7448440,-0.0541236,11.6710097,0.9900000
34.9665974,89628.9183266,43131.5395824,0.6897754,-0.0523513,11.7554488,0.9900000
35.9656430,89628.3046967,43132.3223963,0.6411669,-0.0446610,11.8392858,0.9900000
36.9646886,89627.7315022,43133.1237966,0.6024326,-0.0335171,11.9225332,0.9900000
37.9637343,89627.1823835,43133.9488413,0.5732603,-0.0258237,12.0052034,0.9900000
38.9627799,89626.6504633,43134.7944078,0.5509211,-0.0189729,12.0873082,0.9900000
39.9618256,89626.1314520,43135.6553835,0.5351462,-0.0124648,12.1688590,0.3755286
40.9608712,89625.6277208,43136.5151454,0.5258667,-0.0061836,12.1492263,-0.9194714
41.9599168,89625.1280264,43137.3802245,0.5227721,-0.0000332,12.0169361,-1.6000000
42.9589625,89624.6269375,43138.2477902,0.5257828,0.0060300,11.8831733,-1.6000000
43.9580081,89624.1223361,43139.1103509,0.5332190,0.0084931,11.7478875,-1.6000000
44.9570538,89623.6103272,43139.9687672,0.5427518,0.0105905,11.6110256,-1.6000000
45.9560994,89623.0895959,43140.8211634,0.5544035,0.0127523,11.4725311,-1.6000000
46.9551450,89622.5573082,43141.6689392,0.5665206,0.0108520,11.3323441,-1.6000000
47.9541907,89622.0166888,43142.5095888,0.5760563,0.0082242,11.1904011,-1.6000000
48.9532363,89621.4705025,43143.3437616,0.5829369,0.0055718,11.0466344,-1.6000000
49.9522819,89620.9166990,43144.1791417,0.5876666,0.0040757,10.9009718,-1.6000000
50.9513276,89620.3606156,43145.0105707,0.5911210,0.0028287,10.7533362,-1.6000000
51.9503732,89619.8049616,43145.8363047,0.5933098,0.0015643,10.6036453,-1.6000000
52.9494189,89619.2448221,43146.6662665,0.5935053,-0.0014984,10.4518107,-1.6000000
53.9484645,89618.6872307,43147.4951411,0.5902576,-0.0050130,10.2977377,-1.6000000
54.9475101,89618.1353858,43148.3243941,0.5835078,-0.0085365,10.1413241,-1.6000000
55.9465558,89617.5923989,43149.1547338,0.5748406,-0.0084185,9.9824601,-1.6000000
56.9456014,89617.0541814,43149.9929810,0.5668696,-0.0075598,9.8210266,-1.6000000
57.9446471,89616.5167131,43150.8441415,0.5597497,-0.0065712,9.6568948,-1.6000000
58.9436927,89615.9951405,43151.6843358,0.5500243,-0.0139488,9.4899247,-1.6000000
59.9427383,89615.4804681,43152.5396168,0.5320639,-0.0219722,9.3199638,-1.6000000
60.9417840,89614.9795126,43153.4152478,0.5059398,-0.0297815,9.1468453,-1.6000000
