s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
0.0000000,89656.8036175,43128.8719252,2.9152365,-0.0331650,9.5521142,-0.0398845
0.9990456,89656.5447252,43127.8654497,2.8555632,-0.0840208,9.5479418,-0.2458547
1.9980913,89656.2222262,43126.9414337,2.7477056,-0.1343932,9.5263658,-0.5650724
2.9971369,89655.7869433,43126.0722224,2.6050120,-0.1450822,9.4886315,-0.8280375
3.9961826,89655.2183893,43125.2522853,2.4677188,-0.1322576,9.4391287,-0.9806472
4.9952282,89654.5412363,43124.5104996,2.3356223,-0.1327737,9.3848124,-1.0757879
5.9942738,89653.7616370,43123.8558479,2.2068816,-0.1132750,9.3245713,-1.0154563
6.9933195,89652.9254896,43123.3034467,2.1068061,-0.0866797,9.2760838,-0.7478877
7.9923651,89652.0704164,43122.8387523,2.0339188,-0.0668978,9.2440944,-0.4899469
8.9914108,89651.1857065,43122.4303826,1.9753492,-0.0500146,9.2231649,-0.1207418
9.9904564,89650.2461430,43122.0508509,1.9387808,-0.0223470,9.2310361,0.1799102
10.9895020,89649.3482264,43121.7167936,1.9107124,-0.0440470,9.2426321,0.2511257
11.9885477,89648.3998121,43121.4093989,1.8534624,-0.0699064,9.2581748,0.3247749
12.9875933,89647.3818476,43121.1583971,1.7674554,-0.0938105,9.2776710,0.4021623
13.9866389,89646.3952112,43121.0098990,1.6731399,-0.0942791,9.3014707,0.4685264
14.9856846,89645.3923377,43120.9553454,1.5761949,-0.0999241,9.3279868,0.5215849
15.9847302,89644.3919496,43121.0019396,1.4700951,-0.1132285,9.3573250,0.5477788
16.9837759,89643.4009995,43121.1607165,1.3543807,-0.1116379,9.3864716,0.5220044
17.9828215,89642.4395519,43121.4270293,1.2488365,-0.0993093,9.4128924,0.4898677
18.9818671,89641.5121491,43121.7856791,1.1571288,-0.0849059,9.4384665,0.4773315
19.9809128,89640.6046079,43122.2283236,1.0799549,-0.0671144,9.4634188,0.5002189
20.9799584,89639.7276184,43122.7326502,1.0206592,-0.0505460,9.4912661,0.5307831
21.9790041,89638.8966940,43123.2684182,0.9779261,-0.0359771,9.5192883,0.5304190
22.9780497,89638.0666938,43123.8471802,0.9473449,-0.0263725,9.5469345,0.5088489
23.9770953,89637.2578933,43124.4434428,0.9253119,-0.0167940,9.5725428,0.4573219
24.9761410,89636.4863887,43125.0320039,0.9149638,-0.0040672,9.5946719,0.3245923
25.9751866,89635.7179915,43125.6243425,0.9137972,0.0006103,9.6063594,-2.0517361
26.9742323,89634.9328717,43126.2288472,0.9160060,0.0036702,9.3786019,-6.3248818
27.9732779,89634.1249499,43126.8463339,0.9203986,0.0017992,8.9243739,-6.0663963
28.9723235,89633.3567172,43127.4326088,0.9153181,-0.0116230,8.7084419,-3.6656680
29.9713692,89632.5597936,43128.0553646,0.8977154,-0.0229605,8.5041231,-1.4143779
30.9704148,89631.7596685,43128.7115371,0.8682682,-0.0331458,8.5446418,1.1647206
31.9694604,89630.9996168,43129.3779602,0.8329446,-0.0371214,8.6398685,1.2366710
32.9685061,89630.2693478,43130.0685611,0.7925675,-0.0437454,8.6880312,0.8412467
33.9675517,89629.5851506,43130.7747921,0.7448440,-0.0541236,8.7366021,0.8464820
34.9665974,89628.9183266,43131.5395824,0.6897754,-0.0523513,8.7848298,0.8179732
35.9656430,89628.3046967,43132.3223963,0.6411669,-0.0446610,8.8296433,0.8021509
36.9646886,89627.7315022,43133.1237966,0.6024326,-0.0335171,8.8755848,0.8081286
37.9637343,89627.1823835,43133.9488413,0.5732603,-0.0258237,8.9206118,0.8017739
38.9627799,89626.6504633,43134.7944078,0.5509211,-0.0189729,8.9653791,0.7755344
39.9618256,89626.1314520,43135.6553835,0.5351462,-0.0124648,9.0070475,1.2778588
40.9608712,89625.6277208,43136.5151454,0.5258667,-0.0061836,9.1066624,1.3457394
41.9599168,89625.1280264,43137.3802245,0.5227721,-0.0000332,9.1550977,0.9053899
42.9589625,89624.6269375,43138.2477902,0.5257828,0.0060300,9.2054523,0.9747164
43.9580081,89624.1223361,43139.1103509,0.5332190,0.0084931,9.2608524,0.9794005
44.9570538,89623.6103272,43139.9687672,0.5427518,0.0105905,9.3111376,0.8904110
45.9560994,89623.0895959,43140.8211634,0.5544035,0.0127523,9.3564154,0.8511652
46.9551450,89622.5573082,43141.6689392,0.5665206,0.0108520,9.4020205,0.8132537
47.9541907,89622.0166888,43142.5095888,0.5760563,0.0082242,9.4428525,0.6911225
48.9532363,89621.4705025,43143.3437616,0.5829369,0.0055718,9.4751736,0.5992227
49.9522819,89620.9166990,43144.1791417,0.5876666,0.0040757,9.5060384,0.5559674
50.9513276,89620.3606156,43145.0105707,0.5911210,0.0028287,9.5336136,0.5255969
51.9503732,89619.8049616,43145.8363047,0.5933098,0.0015643,9.5611169,0.5395733
52.9494189,89619.2448221,43146.6662665,0.5935053,-0.0014984,9.5899899,0.6358825
53.9484645,89618.6872307,43147.4951411,0.5902576,-0.0050130,9.6273313,0.7668883
54.9475101,89618.1353858,43148.3243941,0.5835078,-0.0085365,9.6695511,0.6477300
55.9465558,89617.5923989,43149.1547338,0.5748406,-0.0084185,9.6943144,0.1154139
56.9456014,89617.0541814,43149.9929810,0.5668696,-0.0075598,9.6814682,-0.9414657
57.9446471,89616.5167131,43150.8441415,0.5597497,-0.0065712,9.5968014,-1.2800976
58.9436927,89615.9951405,43151.6843358,0.5500243,-0.0139488,9.5484593,-0.7338407
59.9427383,89615.4804681,43152.5396168,0.5320639,-0.0219722,9.5201006,-0.2030696
60.9417840,89614.9795126,43153.4152478,0.5059398,-0.0297815,9.5271886,0.3408336
61.9408296,89614.5082612,43154.2994130,0.4720582,-0.0380246,9.5558010,0.4873246
