s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
0.0000000, 89656.2072879, 43129.0410783, 2.8906236, -0.0771282, 9.1667000, 0.0000000
1.9991340, 89655.5451123, 43127.1568272, 2.7061847, -0.1084648, 9.1667000, 0.0000000
3.9982679, 89654.5000602, 43125.4625375, 2.4690051, -0.1167833, 9.1667000, 0.0000000
5.9974019, 89653.0872411, 43124.0498896, 2.2464086, -0.1073842, 9.1667000, 0.0000000
7.9965358, 89651.4096507, 43122.9684729, 2.0445309, -0.0949586, 9.1667000, 0.0000000
9.9956698, 89649.5570188, 43122.2239660, 1.8645464, -0.0850471, 9.1667000, 0.0000000
11.9948037, 89647.6049876, 43121.8040457, 1.7037514, -0.0763049, 9.1667000, 0.0000000
13.9939377, 89645.6105668, 43121.6866600, 1.5574765, -0.0701562, 9.1667000, 0.0000000
15.9930716, 89643.6199714, 43121.8494293, 1.4230599, -0.0637479, 9.1667000, 0.0000000
17.9922056, 89641.6655967, 43122.2639257, 1.3029344, -0.0566179, 9.1667000, 0.0000000
19.9913396, 89639.7707192, 43122.8968350, 1.1960166, -0.0503926, 9.1667000, 0.0000000
21.9904735, 89637.9488013, 43123.7176632, 1.1004185, -0.0460833, 9.1667000, 0.0000000
23.9896075, 89636.2097131, 43124.7033049, 1.0107361, -0.0436920, 9.1667000, 0.0000000
25.9887414, 89634.5637494, 43125.8367203, 0.9254480, -0.0417037, 9.1667000, 0.0000000
27.9878754, 89633.0172657, 43127.1033018, 0.8452601, -0.0370179, 9.1667000, 0.0000000
29.9870093, 89631.5687128, 43128.4801458, 0.7787669, -0.0295734, 9.1667000, 0.0000000
31.9861433, 89630.2035107, 43129.9408696, 0.7268751, -0.0223061, 9.1667000, 0.0000000
33.9852773, 89628.9057290, 43131.4605989, 0.6882181, -0.0177166, 9.1667000, 0.0000000
35.9844112, 89627.6624724, 43133.0260925, 0.6547930, -0.0156988, 9.1667000, 0.0000000
37.9835452, 89626.4686048, 43134.6289728, 0.6266437, -0.0124772, 9.1667000, 0.0000000
39.9826791, 89625.3147172, 43136.2617177, 0.6048066, -0.0094386, 9.1667000, 0.0000000
41.9818131, 89624.1918671, 43137.9159601, 0.5888264, -0.0065377, 9.1667000, 0.0000000
43.9809470, 89623.0903938, 43139.5842342, 0.5795170, -0.0027769, 9.1667000, 0.0000000
45.9800810, 89621.9981617, 43141.2587014, 0.5776492, 0.0008400, 9.1667000, 0.0000000
47.9792149, 89620.9031946, 43142.9312548, 0.5828104, 0.0042522, 9.1667000, 0.0000000
49.9783489, 89619.7967958, 43144.5963115, 0.5895930, 0.0025334, 9.1667000, 0.0000000
51.9774829, 89618.6820999, 43146.2558092, 0.5925378, 0.0000325, 9.1667000, 0.0000000
53.9766168, 89617.5673818, 43147.9153158, 0.5893620, -0.0033208, 9.1667000, 0.0000000
55.9757508, 89616.4680756, 43149.5848161, 0.5715034, -0.0145436, 9.1667000, 0.0000000
57.9748847, 89615.4181990, 43151.2858121, 0.5297283, -0.0287042, 9.1667000, 0.0000000
59.9740187, 89614.4680173, 43153.0444667, 0.4553253, -0.0456879, 9.1667000, 0.0000000
61.9731526, 89613.6838132, 43154.8818755, 0.3450820, -0.0648063, 9.1667000, 0.0000000
63.9722866, 89613.1435790, 43156.8051544, 0.1960816, -0.0845245, 9.1667000, 0.0000000
65.9714205, 89612.9359373, 43158.7904324, 0.0048132, -0.1069478, 9.1667000, 0.0000000
67.9705545, 89613.1528264, 43160.7743286, -0.2303607, -0.1300610, 9.1667000, 0.0000000
69.9696885, 89613.8738662, 43162.6355986, -0.5167795, -0.1548779, 9.1667000, 0.0000000
71.9688224, 89615.1265265, 43164.1748710, -0.8630002, -0.1949563, 9.1667000, 0.0000000
73.9679564, 89616.8528346, 43165.1688220, -1.2260944, -0.1728336, 9.1667000, 0.0000000
75.9670903, 89618.8113871, 43165.5096976, -1.5658739, -0.1561893, 9.1667000, 0.0000000
77.9662243, 89620.7836433, 43165.2371402, -1.8376420, -0.1189934, 9.1667000, 0.0000000
79.9653582, 89622.6351168, 43164.4954670, -2.0611147, -0.1045667, 9.1667000, 0.0000000
81.9644922, 89624.2914546, 43163.3868255, -2.2544576, -0.0876464, 9.1667000, 0.0000000
83.9636262, 89625.7334944, 43162.0015785, -2.4120904, -0.0708733, 9.1667000, 0.0000000
85.9627601, 89626.9621152, 43160.4279648, -2.5411414, -0.0584431, 9.1667000, 0.0000000
87.9618941, 89627.9993826, 43158.7207904, -2.6460821, -0.0464959, 9.1667000, 0.0000000
89.9610280, 89628.8747662, 43156.9218347, -2.7275560, -0.0351173, 9.1667000, 0.0000000
91.9601620, 89629.6207331, 43155.0678845, -2.7869645, -0.0243884, 9.1667000, 0.0000000
93.9592959, 89630.2757425, 43153.1789897, -2.8250143, -0.0135667, 9.1667000, 0.0000000
95.9584299, 89630.8794409, 43151.2723950, -2.8412393, -0.0026373, 9.1667000, 0.0000000
97.9575638, 89631.4729202, 43149.3634391, -2.8354075, 0.0084674, 9.1667000, 0.0000000
99.9566978, 89632.0986523, 43147.4646030, -2.8074684, 0.0194492, 9.1667000, 0.0000000
101.9558318, 89632.7975008, 43145.5921412, -2.7576272, 0.0304998, 9.1667000, 0.0000000
103.9549657, 89633.6091604, 43143.7662183, -2.6851517, 0.0419868, 9.1667000, 0.0000000
105.9540997, 89634.5720527, 43142.0164373, -2.5857539, 0.0597494, 9.1667000, 0.0000000
107.9532336, 89635.7374030, 43140.3932099, -2.4450306, 0.0816260, 9.1667000, 0.0000000
109.9523676, 89637.1508865, 43138.9859489, -2.2531586, 0.1108306, 9.1667000, 0.0000000
111.9515015, 89638.8411083, 43137.9194073, -2.0070341, 0.1341655, 9.1667000, 0.0000000
113.9506355, 89640.7491602, 43137.3477190, -1.7049309, 0.1661460, 9.1667000, 0.0000000
115.9497694, 89642.7436042, 43137.4191192, -1.3588125, 0.1848064, 9.1667000, 0.0000000
117.9489034, 89644.5650042, 43138.2009443, -0.9701641, 0.1927420, 9.1667000, 0.0000000
119.9480374, 89645.9570748, 43139.6128302, -0.5854181, 0.1904978, 9.1667000, 0.0000000
121.9471713, 89646.7539840, 43141.4381045, -0.2528968, 0.1462054, 9.1667000, 0.0000000
123.9463053, 89646.9822386, 43143.4161341, 0.0140654, 0.1181718, 9.1667000, 0.0000000
125.9454392, 89646.7446640, 43145.3959665, 0.2126777, 0.0840243, 9.1667000, 0.0000000
127.9445732, 89646.1700800, 43147.3082377, 0.3667468, 0.0709719, 9.1667000, 0.0000000
129.9437071, 89645.3314080, 43149.1220028, 0.4931838, 0.0530472, 9.1667000, 0.0000000
131.9428411, 89644.3039967, 43150.8386805, 0.5787180, 0.0332140, 9.1667000, 0.0000000
133.9419751, 89643.1648329, 43152.4812427, 0.6285017, 0.0166522, 9.1667000, 0.0000000
135.9411090, 89641.9712567, 43154.0857293, 0.6449550, -0.0004066, 9.1667000, 0.0000000
137.9402430, 89640.7793838, 43155.6904975, 0.6275511, -0.0141132, 9.1667000, 0.0000000
139.9393769, 89639.6284754, 43157.3249981, 0.5994911, -0.0139595, 9.1667000, 0.0000000
141.9385109, 89638.5227517, 43158.9904448, 0.5738952, -0.0107633, 9.1667000, 0.0000000
143.9376448, 89637.4530257, 43160.6792689, 0.5570136, -0.0053411, 9.1667000, 0.0000000
145.9367788, 89636.4000977, 43162.3785290, 0.5555160, 0.0038411, 9.1667000, 0.0000000
147.9359127, 89635.3339264, 43164.0695292, 0.5729217, 0.0138056, 9.1667000, 0.0000000
149.9350467, 89634.2214607, 43165.7305256, 0.6106248, 0.0231952, 9.1667000, 0.0000000
151.9341807, 89633.0344701, 43167.3388050, 0.6629995, 0.0292132, 9.1667000, 0.0000000
153.9333146, 89631.7547004, 43168.8753518, 0.7285423, 0.0368299, 9.1667000, 0.0000000
155.9324486, 89630.3661742, 43170.3124788, 0.8104709, 0.0438875, 9.1667000, 0.0000000
157.9315825, 89628.8584918, 43171.6245794, 0.8991610, 0.0448956, 9.1667000, 0.0000000
159.9307165, 89627.2468769, 43172.8015217, 0.9715692, 0.0200011, 9.1667000, 0.0000000
161.9298504, 89625.5846890, 43173.9170554, 0.9760693, -0.0153621, 9.1667000, 0.0000000
163.9289844, 89623.9590835, 43175.0822584, 0.9097499, -0.0513146, 9.1667000, 0.0000000
165.9281183, 89622.4630527, 43176.4088942, 0.7669883, -0.0928466, 9.1667000, 0.0000000
167.9272523, 89621.2421652, 43177.9825708, 0.5391984, -0.1324258, 9.1667000, 0.0000000
169.9263863, 89620.4782677, 43179.8225437, 0.2325367, -0.1776900, 9.1667000, 0.0000000
171.9255202, 89620.3780790, 43181.7979249, -0.1241738, -0.1655972, 9.1667000, 0.0000000
173.9246542, 89620.9377441, 43183.7169022, -0.4385778, -0.1493634, 9.1667000, 0.0000000
175.9237881, 89622.0345870, 43185.3806200, -0.7232312, -0.1377183, 9.1667000, 0.0000000
177.9229221, 89623.5464334, 43186.6830495, -0.9941864, -0.1326986, 9.1667000, 0.0000000
179.9220560, 89625.3466268, 43187.5394421, -1.2596030, -0.1317103, 9.1667000, 0.0000000
181.9211900, 89627.3091180, 43187.9009686, -1.5158425, -0.1264107, 9.1667000, 0.0000000
