s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
0.0000000, 89656.8036175, 43128.8719252, 2.9152365, -0.0331650, 0.5000000, 0.8648806
0.9990456, 89656.5447252, 43127.8654497, 2.8555632, -0.0840208, 1.4064531, 0.9900000
1.9980913, 89656.2222262, 43126.9414337, 2.7477056, -0.1343932, 1.9890251, 0.9900000
2.9971369, 89655.7869433, 43126.0722224, 2.6050120, -0.1450822, 2.4360482, 0.9900000
3.9961826, 89655.2183893, 43125.2522853, 2.4677188, -0.1322576, 2.8129062, 0.9900000
4.9952282, 89654.5412363, 43124.5104996, 2.3356223, -0.1327737, 3.1449248, 0.9900000
5.9942738, 89653.7616370, 43123.8558479, 2.2068816, -0.1132750, 3.4450925, 0.9900000
6.9933195, 89652.9254896, 43123.3034467, 2.1068061, -0.0866797, 3.7211252, 0.9900000
7.9923651, 89652.0704164, 43122.8387523, 2.0339188, -0.0668978, 3.9780501, 0.9900000
8.9914108, 89651.1857065, 43122.4303826, 1.9753492, -0.0500146, 4.2193594, 0.9900000
9.9904564, 89650.2461430, 43122.0508509, 1.9387808, -0.0223470, 4.4475953, 0.9900000
10.9895020, 89649.3482264, 43121.7167936, 1.9107124, -0.0440470, 4.6646773, 0.9900000
11.9885477, 89648.3998121, 43121.4093989, 1.8534624, -0.0699064, 4.8720965, 0.9900000
12.9875933, 89647.3818476, 43121.1583971, 1.7674554, -0.0938105, 5.0710388, 0.9900000
13.9866389, 89646.3952112, 43121.0098990, 1.6731399, -0.0942791, 5.2624657, 0.9900000
14.9856846, 89645.3923377, 43120.9553454, 1.5761949, -0.0999241, 5.4471695, 0.9900000
15.9847302, 89644.3919496, 43121.0019396, 1.4700951, -0.1132285, 5.6258125, 0.9900000
16.9837759, 89643.4009995, 43121.1607165, 1.3543807, -0.1116379, 5.7989548, 0.9900000
17.9828215, 89642.4395519, 43121.4270293, 1.2488365, -0.0993093, 5.9670752, 0.9900000
18.9818671, 89641.5121491, 43121.7856791, 1.1571288, -0.0849059, 6.1305870, 0.9900000
19.9809128, 89640.6046079, 43122.2283236, 1.0799549, -0.0671144, 6.2898495, 0.9900000
20.9799584, 89639.7276184, 43122.7326502, 1.0206592, -0.0505460, 6.4451779, 0.9900000
21.9790041, 89638.8966940, 43123.2684182, 0.9779261, -0.0359771, 6.5968499, 0.9900000
22.9780497, 89638.0666938, 43123.8471802, 0.9473449, -0.0263725, 6.7451122, 0.9900000
23.9770953, 89637.2578933, 43124.4434428, 0.9253119, -0.0167940, 6.8901850, 0.9900000
24.9761410, 89636.4863887, 43125.0320039, 0.9149638, -0.0040672, 7.0322656, 0.9900000
25.9751866, 89635.7179915, 43125.6243425, 0.9137972, 0.0006103, 7.1715319, 0.9900000
26.9742323, 89634.9328717, 43126.2288472, 0.9160060, 0.0036702, 7.3081448, 0.9900000
27.9732779, 89634.1249499, 43126.8463339, 0.9203986, 0.0017992, 7.4422503, 0.9900000
28.9723235, 89633.3567172, 43127.4326088, 0.9153181, -0.0116230, 7.5739818, 0.9900000
29.9713692, 89632.5597936, 43128.0553646, 0.8977154, -0.0229605, 7.7034610, 0.9900000
30.9704148, 89631.7596685, 43128.7115371, 0.8682682, -0.0331458, 7.8307995, 0.9900000
31.9694604, 89630.9996168, 43129.3779602, 0.8329446, -0.0371214, 7.9561003, 0.9900000
32.9685061, 89630.2693478, 43130.0685611, 0.7925675, -0.0437454, 8.0794580, 0.9900000
33.9675517, 89629.5851506, 43130.7747921, 0.7448440, -0.0541236, 8.2009605, 0.9900000
34.9665974, 89628.9183266, 43131.5395824, 0.6897754, -0.0523513, 8.3206888, 0.9900000
35.9656430, 89628.3046967, 43132.3223963, 0.6411669, -0.0446610, 8.4387187, 0.9900000
36.9646886, 89627.7315022, 43133.1237966, 0.6024326, -0.0335171, 8.5551203, 0.9900000
37.9637343, 89627.1823835, 43133.9488413, 0.5732603, -0.0258237, 8.6699593, 0.9900000
38.9627799, 89626.6504633, 43134.7944078, 0.5509211, -0.0189729, 8.7832969, 0.9900000
39.9618256, 89626.1314520, 43135.6553835, 0.5351462, -0.0124648, 8.8951905, 0.9900000
40.9608712, 89625.6277208, 43136.5151454, 0.5258667, -0.0061836, 9.0056940, 0.9900000
41.9599168, 89625.1280264, 43137.3802245, 0.5227721, -0.0000332, 9.1148579, 0.9900000
42.9589625, 89624.6269375, 43138.2477902, 0.5257828, 0.0060300, 9.2227298, 0.9900000
43.9580081, 89624.1223361, 43139.1103509, 0.5332190, 0.0084931, 9.3293545, 0.9900000
44.9570538, 89623.6103272, 43139.9687672, 0.5427518, 0.0105905, 9.4347743, 0.9900000
45.9560994, 89623.0895959, 43140.8211634, 0.5544035, 0.0127523, 9.5390291, 0.9900000
46.9551450, 89622.5573082, 43141.6689392, 0.5665206, 0.0108520, 9.6421568, 0.9900000
47.9541907, 89622.0166888, 43142.5095888, 0.5760563, 0.0082242, 9.7441930, 0.9900000
48.9532363, 89621.4705025, 43143.3437616, 0.5829369, 0.0055718, 9.8451718, 0.9900000
49.9522819, 89620.9166990, 43144.1791417, 0.5876666, 0.0040757, 9.9451253, 0.9900000
50.9513276, 89620.3606156, 43145.0105707, 0.5911210, 0.0028287, 10.0440843, 0.9900000
51.9503732, 89619.8049616, 43145.8363047, 0.5933098, 0.0015643, 10.1420776, 0.9900000
52.9494189, 89619.2448221, 43146.6662665, 0.5935053, -0.0014984, 10.2391332, 0.9900000
53.9484645, 89618.6872307, 43147.4951411, 0.5902576, -0.0050130, 10.3352774, 0.9900000
54.9475101, 89618.1353858, 43148.3243941, 0.5835078, -0.0085365, 10.4305355, 0.9900000
55.9465558, 89617.5923989, 43149.1547338, 0.5748406, -0.0084185, 10.5249314, -0.1522783
56.9456014, 89617.0541814, 43149.9929810, 0.5668696, -0.0075598, 10.5104669, -1.6000000
57.9446471, 89616.5167131, 43150.8441415, 0.5597497, -0.0065712, 10.3572665, -1.6000000
58.9436927, 89615.9951405, 43151.6843358, 0.5500243, -0.0139488, 10.2017657, -1.6000000
59.9427383, 89615.4804681, 43152.5396168, 0.5320639, -0.0219722, 10.0438576, -1.6000000
60.9417840, 89614.9795126, 43153.4152478, 0.5059398, -0.0297815, 9.8834270, -1.6000000
61.9408296, 89614.5082612, 43154.2994130, 0.4720582, -0.0380246, 9.7203490, -1.6000000
62.9398753, 89614.0714109, 43155.2002273, 0.4294841, -0.0471927, 9.5544879, -1.6000000
63.9389209, 89613.6787461, 43156.1180456, 0.3773159, -0.0575360, 9.3856961, -1.6000000
64.9379665, 89613.3391226, 43157.0592791, 0.3124983, -0.0735779, 9.2138128, -1.6000000
65.9370122, 89613.0703331, 43158.0204073, 0.2298217, -0.0919792, 9.0386614, -1.6000000
66.9360578, 89612.8909660, 43158.9998925, 0.1296356, -0.1086484, 8.8600482, -1.6000000
67.9351034, 89612.8167384, 43160.0280075, 0.0147789, -0.1091634, 8.6777594, -1.6000000
68.9341491, 89612.8605768, 43161.0626403, -0.1011163, -0.1189113, 8.4915583, -1.6000000
69.9331947, 89613.0184072, 43162.0171940, -0.2336835, -0.1637159, 8.3011816, -1.6000000
