s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
0.0000000,89656.5551642,43128.7560551,-1.8881144,-0.0697495,9.4613810,0.0000000
0.9584088,89656.2634235,43127.8431286,-1.9220078,-0.0713950,9.4614242,0.0000000
1.8789909,89655.9093152,43126.9933765,-2.0222649,-0.1194318,9.4361035,0.0000000
2.7973519,89655.4624050,43126.1910933,-2.1416361,-0.1298428,9.4114066,0.0000000
3.7319568,89654.9100128,43125.4372040,-2.2628592,-0.1281435,9.3748847,0.0000000
4.6742470,89654.2668250,43124.7485674,-2.3821481,-0.1221823,9.3615940,0.0000000
5.6319700,89653.5345328,43124.1313304,-2.4950073,-0.1098162,9.3465106,0.0000000
6.5862333,89652.7429944,43123.5983338,-2.5921151,-0.0920727,9.3125017,0.0000000
7.5303055,89651.9171603,43123.1408731,-2.6697922,-0.0699064,9.2970729,0.0000000
8.4872412,89651.0506378,43122.7348377,-2.7250078,-0.0579170,9.2885699,0.0000000
9.4592146,89650.1536245,43122.3605392,-2.7815088,-0.0628481,9.2818445,0.0000000
10.3971439,89649.2643713,43122.0623109,-2.8450415,-0.0661490,9.2745678,0.0000000
11.3590830,89648.3373325,43121.8055504,-2.9071831,-0.0713728,9.2630756,0.0000000
12.3540489,89647.3621626,43121.6080645,-2.9847112,-0.0844631,9.2615909,0.0000000
13.3181093,89646.4042044,43121.4997657,-3.0726486,-0.0917565,9.2701119,0.0000000
14.2860898,89645.4365384,43121.4750934,3.1211968,-0.0953261,9.2990717,0.0000000
15.2530884,89644.4716662,43121.5391870,3.0260828,-0.0987521,9.3316033,0.0000000
16.2208971,89643.5169462,43121.6978167,2.9301304,-0.0962267,9.3565316,0.0000000
17.1831589,89642.5866672,43121.9438427,2.8403585,-0.0884779,8.0905027,0.0000000
18.1418113,89641.6842062,43122.2672288,2.7601719,-0.0769973,8.1267005,0.0000000
19.1107815,89640.7988036,43122.6608852,2.6919368,-0.0647953,8.1644028,0.0000000
20.0841531,89639.9357922,43123.1110671,2.6343173,-0.0551557,8.2059786,0.0000000
21.0481309,89639.1060207,43123.6017119,2.5850810,-0.0461955,8.2520224,0.0000000
22.0315928,89638.2826263,43124.1395027,2.5443543,-0.0379902,8.2997263,0.0000000
23.0160661,89637.4790341,43124.7082095,2.5103187,-0.0313558,8.3613152,0.0000000
23.9865312,89636.7046405,43125.2931172,2.4830556,-0.0250374,8.4118664,0.0000000
24.9626698,89635.9395918,43125.8993737,2.4615808,-0.0199374,8.4538437,0.0000000
25.9535939,89635.1751946,43126.5299509,2.4438374,-0.0163316,8.4679916,0.0000000
26.9601833,89634.4089725,43127.1827341,2.4289582,-0.0158893,8.4451654,0.0000000
27.9302209,89633.6796337,43127.8222948,2.4124303,-0.0192766,8.4561832,0.0000000
28.9225758,89632.9456135,43128.4901140,2.3911298,-0.0243693,8.4906560,0.0000000
29.9250590,89632.2207708,43129.1826280,2.3638175,-0.0290312,8.5407678,0.0000000
30.9089021,89631.5305689,43129.8837476,2.3334645,-0.0310954,8.5932374,0.0000000
31.8879193,89630.8648739,43130.6016088,2.3027817,-0.0328036,8.6543543,0.0000000
32.8507388,89630.2329099,43131.3279992,2.2697651,-0.0338967,8.7160257,0.0000000
33.8354052,89629.6119832,43132.0922099,2.2367683,-0.0319880,8.7662396,0.0000000
34.8100139,89629.0225867,43132.8684018,2.2070918,-0.0269789,8.8190660,0.0000000
35.7789028,89628.4572188,43133.6552339,2.1843349,-0.0199706,8.8577868,0.0000000
36.7497421,89627.9058111,43134.4542824,2.1683543,-0.0136855,8.9010747,0.0000000
37.7303720,89627.3592957,43135.2685035,2.1576281,-0.0087463,8.9077461,0.0000000
38.7173398,89626.8163119,43136.0926843,2.1511451,-0.0047138,8.9207454,0.0000000
39.7010266,89626.2787576,43136.9165017,2.1483387,-0.0013117,8.9772937,0.0000000
40.6926705,89625.7378475,43137.7476298,2.1485540,0.0015735,9.0265849,0.0000000
41.6917123,89625.1915510,43138.5840774,2.1514711,0.0037531,9.0718594,0.0000000
42.6943047,89624.6397769,43139.4211777,2.1560663,0.0049072,9.1202403,0.0000000
43.6995495,89624.0823761,43140.2577310,2.1613240,0.0055330,9.1761775,0.0000000
