s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
0.0000000,89656.3518843,43128.6612523,-1.9347684,-0.0478546,9.4613810,0
0.8950190,89656.0332675,43127.8248658,-1.9776509,-0.0765731,9.4614242,0
1.7707379,89655.6532971,43127.0358752,-2.0692800,-0.1114097,9.4361035,0
2.6465885,89655.1968737,43126.2883514,-2.1728604,-0.1195492,9.4114066,0
3.5300439,89654.6577047,43125.5885012,-2.2796712,-0.1197780,9.3748847,0
4.4216349,89654.0423066,43124.9433502,-2.3855733,-0.1169166,9.3615940,0
5.3300352,89653.3487203,43124.3567251,-2.4901268,-0.1092609,9.3465106,0
6.2451847,89652.5936802,43123.8396051,-2.5847969,-0.0943285,9.3125017,0
7.1654847,89651.7917689,43123.3880629,-2.6632275,-0.0715017,9.2970729,0
8.1081466,89650.9401270,43122.9839374,-2.7174143,-0.0681072,9.2885699,0
9.0463897,89650.0779276,43122.6139205,-2.7914291,-0.0861419,9.2818445,0
9.9686315,89649.1957625,43122.3450069,-2.8772041,-0.0822139,9.2745678,0
10.9033233,89648.2862128,43122.1296743,-2.9439995,-0.0758876,9.2630756,0
11.8559603,89647.3460567,43121.9759741,-3.0206336,-0.0831960,9.2615909,0
12.7934922,89646.4115624,43121.9005657,-3.1011850,-0.0866415,9.2701119,0
13.7323520,89645.4727026,43121.9003417,-3.1832652,-0.0889373,9.2990717,0
14.6714451,89644.5368888,43121.9787530,-3.2682516,-0.0891697,9.3316033,0
15.6100039,89643.6118117,43122.1372623,-3.3507201,-0.0847429,9.3565316,0
16.5434167,89642.7070342,43122.3666901,-3.4269699,-0.0780310,8.0905027,0
17.4733467,89641.8249801,43122.6612241,-3.4961695,-0.0699109,8.1267005,0
18.4099395,89640.9576909,43123.0147993,-3.5574296,-0.0628898,8.1644028,0
19.3532949,89640.1061162,43123.4206809,-3.6143905,-0.0585711,8.2059786,0
20.2981881,89639.2772880,43123.8744067,-3.6680319,-0.0541059,8.2520224,0
21.2591222,89638.4592983,43124.3786756,-3.7174332,-0.0491148,8.2997263,0
22.2272244,89637.6599674,43124.9248368,-3.7627537,-0.0443703,8.3613152,0
23.1977815,89636.8832102,43125.5067554,-3.8034459,-0.0398972,8.4118664,0
24.1789028,89636.1209011,43126.1243992,-3.8405847,-0.0362874,8.4538437,0
25.1706970,89635.3734587,43126.7763084,-3.8750074,-0.0319126,8.4679916,0
26.1710168,89634.6413547,43127.4579707,-3.9041126,-0.0276512,8.4451654,0
27.1473540,89633.9438382,43128.1411288,-3.9297370,-0.0266340,8.4561832,0
28.1284079,89633.2612843,43128.8458181,-3.9562507,-0.0275146,8.4906560,0
29.1089893,89632.5980363,43129.5680660,-3.9837121,-0.0272231,8.5407678,0
30.0748757,89631.9649842,43130.2975737,-4.0092623,-0.0247328,8.5932374,0
31.0358355,89631.3521226,43131.0377388,-4.0313872,-0.0217917,8.6543543,0
31.9840268,89630.7628947,43131.7806231,-4.0508979,-0.0192214,8.7160257,0
32.9450776,89630.1795205,43132.5443596,-4.0680511,-0.0160693,8.7662396,0
33.9034626,89629.6099513,43133.3151336,-4.0817517,-0.0118727,8.8190660,0
34.8589367,89629.0509869,43134.0900462,-4.0907883,-0.0070013,8.8577868,0
35.8134310,89628.4977064,43134.8678252,-4.0951288,-0.0027812,8.9010747,0
36.7797251,89627.9392495,43135.6564000,-4.0960884,0.0000670,8.9077461,0
37.7529017,89627.3766519,43136.4504759,-4.0949842,0.0017204,8.9207454,0
38.7278719,89626.8114241,43137.2448841,-4.0927346,0.0024457,8.9772937,0
39.7155831,89626.2367921,43138.0482342,-4.0901806,0.0026065,9.0265849,0
40.7145431,89625.6535075,43138.8592215,-4.0875559,0.0024576,9.0718594,0
41.7219317,89625.0631376,43139.6754905,-4.0852526,0.0019858,9.1202403,0
42.7337076,89624.4685979,43140.4941559,-4.0835489,0.0015021,9.1761775,0
43.7455748,89623.8728165,43141.3120311,-4.0822128,0.0011280,9.2188068,0
44.7608735,89623.2740120,43142.1319485,-4.0812636,0.0005858,9.2591977,0
45.7750722,89622.6753047,43142.9505745,-4.0810232,-0.0000242,9.2942903,0
46.7848861,89622.0793423,43143.7657757,-4.0813103,-0.0002929,9.3359489,0
47.7943253,89621.4839130,43144.5809023,-4.0816147,-0.0002183,9.3666891,0
48.8002595,89620.8907344,43145.3933325,-4.0817509,-0.0001663,9.3855358,0
49.8011595,89620.3005625,43146.2017247,-4.0819481,-0.0005940,9.4039029,0
50.7998360,89619.7119816,43147.0085254,-4.0829370,-0.0021696,9.4372886,0
51.7938096,89619.1274799,43147.8124788,-4.0862604,-0.0049256,9.4906932,0
52.7939380,89618.5434424,43148.6243637,-4.0927787,-0.0073993,9.5287907,0
53.7924457,89617.9668349,43149.4395577,-4.1010461,-0.0094591,9.5675380,0
54.7883795,89617.3986900,43150.2575404,-4.1116385,-0.0136377,9.6187944,0
55.7846713,89616.8407322,43151.0829375,-4.1282184,-0.0206845,9.6670621,0
56.7788093,89616.3009736,43151.9177854,-4.1527939,-0.0287227,9.7100287,0
57.7679317,89615.7879183,43152.7634433,-4.1851460,-0.0371522,9.7607012,0
58.7551436,89615.3066784,43153.6254152,-4.2262095,-0.0460063,9.7984433,0
59.7408134,89614.8662673,43154.5072220,-4.2759057,-0.0537048,9.8275353,0
60.7204120,89614.4758528,43155.4056594,-4.3317254,-0.0610113,9.8536147,0
61.6866845,89614.1428912,43156.3127533,-4.3945447,-0.0710239,9.8612057,0
62.6402793,89613.8753858,43157.2280586,-4.4679674,-0.0809637,9.8471107,0
63.5856144,89613.6830855,43158.1536282,-4.5482411,-0.0901565,9.8218256,0
64.5235587,89613.5672977,43159.0843981,-4.6377782,-0.1043944,9.7883008,0
65.4626966,89613.5434512,43160.0232332,-4.7443130,-0.1205658,9.7335695,0
66.3929463,89613.6258558,43160.9498259,-4.8631341,-0.1371411,9.7130495,0
67.2915880,89613.8137841,43161.8285977,-4.9948028,-0.1600732,9.6591731,0
68.1899597,89614.1253133,43162.6712253,-5.1511056,-0.1784697,9.5619128,0
69.0656921,89614.5613365,43163.4306928,-5.3112163,-0.1799242,9.4525925,0
69.9231748,89615.0970833,43164.1002091,-5.4634725,-0.1875716,9.3839735,0
70.7773069,89615.7256454,43164.6785267,-5.6329257,-0.2144604,9.2778870,0
71.6303556,89616.4498201,43165.1293738,-5.8299807,-0.2301455,9.1197537,0
72.4738038,89617.2419204,43165.4191704,-6.0233815,-0.2146207,8.9320051,0
73.3242841,89618.0804105,43165.5614766,-6.1938869,-0.1929505,8.8018570,0
74.1698919,89618.9259678,43165.5707222,-6.3513741,-0.1840247,8.6671825,0
75.0304712,89619.7770482,43165.4432121,-6.5080562,-0.1709547,8.5732882,0
