s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
0.0000000,89656.8036175,43128.8719252,-1.8225649,-0.0380287,0.0,0.0
1.0000000,89656.5447252,43127.8654497,-1.8633191,-0.0721223,0.0,0.0
2.0000000,89656.2222262,43126.9414337,-1.9706154,-0.1274628,0.0,0.0
3.0000000,89655.7869433,43126.0722224,-2.1070036,-0.1392720,0.0,0.0
4.0000000,89655.2183893,43125.2522853,-2.2441022,-0.1344605,0.0,0.0
5.0000000,89654.5412363,43124.5104996,-2.3773308,-0.1257569,0.0,0.0
6.0000000,89653.7616370,43123.8558479,-2.4999785,-0.1092112,0.0,0.0
7.0000000,89652.9254896,43123.3034467,-2.6001463,-0.0899019,0.0,0.0
8.0000000,89652.0704164,43122.8387523,-2.6764873,-0.0698122,0.0,0.0
9.0000000,89651.1857065,43122.4303826,-2.7338932,-0.0468857,0.0,0.0
10.0000000,89650.2461430,43122.0508509,-2.7711678,-0.0371895,0.0,0.0
11.0000000,89649.3482264,43121.7167936,-2.8072183,-0.0494449,0.0,0.0
12.0000000,89648.3998121,43121.4093989,-2.8649045,-0.0660494,0.0,0.0
13.0000000,89647.3818476,43121.1583971,-2.9448784,-0.0844927,0.0,0.0
14.0000000,89646.3952112,43121.0098990,-3.0398837,-0.0973604,0.0,0.0
15.0000000,89645.3923377,43120.9553454,-3.1376195,-0.1017729,0.0,0.0
16.0000000,89644.3919496,43121.0019396,-3.2443615,-0.1087887,0.0,0.0
17.0000000,89643.4009995,43121.1607165,-3.3559739,-0.1081487,0.0,0.0
18.0000000,89642.4395519,43121.4270293,-3.4611239,-0.0995512,0.0,0.0
19.0000000,89641.5121491,43121.7856791,-3.5533196,-0.0840207,0.0,0.0
20.0000000,89640.6046079,43122.2283236,-3.6294629,-0.0662742,0.0,0.0
21.0000000,89639.7276184,43122.7326502,-3.6885929,-0.0518663,0.0,0.0
22.0000000,89638.8966940,43123.2684182,-3.7326098,-0.0376302,0.0,0.0
23.0000000,89638.0666938,43123.8471802,-3.7636389,-0.0256013,0.0,0.0
24.0000000,89637.2578933,43124.4434428,-3.7849297,-0.0164123,0.0,0.0
25.0000000,89636.4863887,43125.0320039,-3.7958015,-0.0068615,0.0,0.0
26.0000000,89635.7179915,43125.6243425,-3.7980280,-0.0000314,0.0,0.0
27.0000000,89634.9328717,43126.2288472,-3.7959361,0.0020562,0.0,0.0
28.0000000,89634.1249499,43126.8463339,-3.7938253,-0.0016843,0.0,0.0
29.0000000,89633.3567172,43127.4326088,-3.7993179,-0.0119425,0.0,0.0
30.0000000,89632.5597936,43128.0553646,-3.8168257,-0.0219188,0.0,0.0
31.0000000,89631.7596685,43128.7115371,-3.8447625,-0.0307370,0.0,0.0
32.0000000,89630.9996168,43129.3779602,-3.8802106,-0.0376590,0.0,0.0
33.0000000,89630.2693478,43130.0685611,-3.9207182,-0.0452932,0.0,0.0
34.0000000,89629.5851506,43130.7747921,-3.9694876,-0.0503083,0.0,0.0
35.0000000,89628.9183266,43131.5395824,-4.0211755,-0.0492402,0.0,0.0
36.0000000,89628.3046967,43132.3223963,-4.0694279,-0.0443648,0.0,0.0
37.0000000,89627.7315022,43133.1237966,-4.1083784,-0.0348631,0.0,0.0
38.0000000,89627.1823835,43133.9488413,-4.1380609,-0.0261248,0.0,0.0
39.0000000,89626.6504633,43134.7944078,-4.1604146,-0.0189018,0.0,0.0
40.0000000,89626.1314520,43135.6553835,-4.1761248,-0.0125249,0.0,0.0
41.0000000,89625.6277208,43136.5151454,-4.1854970,-0.0062704,0.0,0.0
42.0000000,89625.1280264,43137.3802245,-4.1885996,-0.0001705,0.0,0.0
43.0000000,89624.6269375,43138.2477902,-4.1858469,0.0048809,0.0,0.0
44.0000000,89624.1223361,43139.1103509,-4.1788232,0.0082881,0.0,0.0
45.0000000,89623.6103272,43139.9687672,-4.1692865,0.0104977,0.0,0.0
46.0000000,89623.0895959,43140.8211634,-4.1578555,0.0114855,0.0,0.0
47.0000000,89622.5573082,43141.6689392,-4.1463115,0.0105230,0.0,0.0
48.0000000,89622.0166888,43142.5095888,-4.1367818,0.0082765,0.0,0.0
49.0000000,89621.4705025,43143.3437616,-4.1298154,0.0059245,0.0,0.0
50.0000000,89620.9166990,43144.1791417,-4.1249345,0.0041508,0.0,0.0
51.0000000,89620.3606156,43145.0105707,-4.1214835,0.0027865,0.0,0.0
52.0000000,89619.8049616,43145.8363047,-4.1193870,0.0010122,0.0,0.0
