s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
0.0000000,89656.2283982,43129.3511351,-1.8915952,-0.0492849,7.5487503,0.3855898
0.6000000,89656.0392204,43128.7817961,-1.9211822,-0.0754257,7.5793982,0.2737172
1.2000000,89655.8167236,43128.2246971,-1.9820866,-0.1031964,7.5920862,0.1235178
1.8000000,89655.5597875,43127.6825983,-2.0450098,-0.1065987,7.5989214,0.0679250
2.4000000,89655.2691205,43127.1578227,-2.1100119,-0.1102188,7.6028128,0.0307900
3.0000000,89654.9440826,43126.6536175,-2.1772712,-0.1147988,7.6037812,0.0500282
3.6000000,89654.5856881,43126.1726022,-2.2477784,-0.1178568,7.6107080,0.0863510
4.2000000,89654.1930543,43125.7191331,-2.3186678,-0.1153423,7.6173963,0.1219050
4.8000000,89653.7702849,43125.2935830,-2.3861854,-0.1126419,7.6299122,0.2047508
5.4000000,89653.3201638,43124.8970905,-2.4538383,-0.1113632,7.6495987,0.2070755
6.0000000,89652.8438549,43124.5324580,-2.5198009,-0.1055772,7.6623963,0.2393251
6.6000000,89652.3455048,43124.1986329,-2.5805186,-0.0977601,7.6870791,0.3616550
7.2000000,89651.8285133,43123.8943699,-2.6371034,-0.0942622,7.7188529,0.4297231
7.8000000,89651.2956187,43123.6189426,-2.6936344,-0.0965257,7.7538854,0.5276009
8.4000000,89650.7476094,43123.3749530,-2.7529226,-0.0960582,7.8005050,0.4534983
9.0000000,89650.1858591,43123.1644949,-2.8088812,-0.0904530,7.8236498,0.3954567
9.6000000,89649.6139822,43122.9832198,-2.8614750,-0.0857720,7.8611606,0.4691229
10.2000000,89649.0332099,43122.8328987,-2.9117964,-0.0777978,7.8952611,0.3839468
10.8000000,89648.4460000,43122.7099955,-2.9548291,-0.0672277,7.9195166,0.2241179
11.4000000,89647.8544214,43122.6101480,-2.9924721,-0.0628276,7.9292204,0.1689516
12.0000000,89647.2596285,43122.5317600,-3.0302224,-0.0650295,7.9450856,0.1922642
12.6000000,89646.6622006,43122.4768184,-3.0705029,-0.0682270,7.9582594,0.1811252
13.2000000,89646.0629795,43122.4465469,-3.1120975,-0.0709826,7.9723969,0.3122274
13.8000000,89645.4630676,43122.4414396,-3.1556875,-0.0757388,8.0052556,0.3251220
14.4000000,89644.8635846,43122.4634534,-3.2029779,-0.0827794,8.0211332,0.3445620
15.0000000,89644.2659212,43122.5150191,-3.2550139,-0.0846447,8.0568037,0.3825390
15.6000000,89643.6719648,43122.5991910,-3.3045270,-0.0800467,8.0781095,0.2018423
16.2000000,89643.0822933,43122.7095976,-3.3510779,-0.0799590,8.0867873,0.1940205
16.8000000,89642.4987220,43122.8486275,-3.4004708,-0.0822087,8.1069002,0.3359635
17.4000000,89641.9228155,43123.0166513,-3.4497182,-0.0797176,8.1365174,0.2957393
18.0000000,89641.3556792,43123.2124145,-3.4961315,-0.0762349,8.1505168,0.3225026
18.6000000,89640.7977914,43123.4331134,-3.5412110,-0.0727903,8.1839994,0.3782495
19.2000000,89640.2506434,43123.6791192,-3.5834684,-0.0660826,8.2059786,0.3908473
19.8000000,89639.7133745,43123.9461230,-3.6205080,-0.0592025,8.2411549,0.4888911
20.4000000,89639.1858881,43124.2319752,-3.6545118,-0.0577148,8.2771664,0.3388496
21.0000000,89638.6679866,43124.5348828,-3.6897705,-0.0596580,8.2902803,0.4026867
21.6000000,89638.1619667,43124.8571826,-3.7260968,-0.0596131,8.3354544,0.6080516
