s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
0.0000000,89656.3576992,43128.6612523,-1.9347684,-0.0478546,9.4613810,0.0000000
0.8957324,89656.0418094,43127.8230697,-1.9776509,-0.0765731,9.4614242,0.0000000
1.7711946,89655.6652145,43127.0327468,-2.0692800,-0.1114097,9.4361035,0.0000000
2.6491840,89655.2117791,43126.2809078,-2.1728604,-0.1195492,9.4114066,0.0000000
3.5386739,89654.6731992,43125.5730067,-2.2796712,-0.1197780,9.3748847,0.0000000
4.4339758,89654.0595587,43124.9210781,-2.3855733,-0.1169166,9.3615940,0.0000000
5.3457804,89653.3677064,43124.3271690,-2.4901268,-0.1092609,9.3465106,0.0000000
6.2574716,89652.6192726,43123.8065659,-2.5847969,-0.0943285,9.3125017,0.0000000
7.1820873,89651.8161733,43123.3483674,-2.6632275,-0.0715017,9.2970729,0.0000000
8.1295430,89650.9609136,43122.9406872,-2.7174143,-0.0681072,9.2885699,0.0000000
9.0748055,89650.0910696,43122.5706973,-2.7914291,-0.0861419,9.2818445,0.0000000
10.0083154,89649.1957625,43122.3063759,-2.8772041,-0.0822139,9.2745678,0.0000000
10.9410311,89648.2862128,43122.0997894,-2.9439995,-0.0758876,9.2630756,0.0000000
11.8951380,89647.3431081,43121.9553121,-3.0206336,-0.0831960,9.2615909,0.0000000
12.8319272,89646.4087611,43121.8877146,-3.1011850,-0.0866415,9.2701119,0.0000000
13.7699620,89645.4707416,43121.8930875,-3.1832652,-0.0889373,9.2990717,0.0000000
14.7087056,89644.5355752,43121.9749612,-3.2682516,-0.0891697,9.3316033,0.0000000
15.6468010,89643.6112351,43122.1350184,-3.3507201,-0.0847429,9.3565316,0.0000000
16.5803368,89642.7063985,43122.3647136,-3.4269699,-0.0780310,8.0905027,0.0000000
17.5103408,89641.8239405,43122.6582699,-3.4961695,-0.0699109,8.1267005,0.0000000
18.4460522,89640.9566086,43123.0093983,-3.5574296,-0.0628898,8.1644028,0.0000000
