s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
0.0000000,89656.4024059,43128.6612523,-1.9347684,-0.0478546,9.4613810,0.0000000
0.9020230,89656.1041815,43127.8099546,-1.9776509,-0.0765731,9.4614242,0.0000000
1.7770264,89655.7464367,43127.0114250,-2.0692800,-0.1114097,9.4361035,0.0000000
2.6707877,89655.3040365,43126.2348354,-2.1728604,-0.1195492,9.4114066,0.0000000
3.5956705,89654.7574920,43125.4887139,-2.2796712,-0.1197780,9.3748847,0.0000000
4.5078580,89654.1397982,43124.8174908,-2.3855733,-0.1169166,9.3615940,0.0000000
5.4321320,89653.4423111,43124.2110305,-2.4901268,-0.1092609,9.3465106,0.0000000
6.3315788,89652.7049227,43123.6959936,-2.5847969,-0.0943285,9.3125017,0.0000000
7.2713429,89651.8874151,43123.2324878,-2.6632275,-0.0715017,9.2970729,0.0000000
8.2328853,89651.0155490,43122.8270086,-2.7174143,-0.0681072,9.2885699,0.0000000
9.1958611,89650.1232030,43122.4650127,-2.7914291,-0.0861419,9.2818445,0.0000000
10.1561838,89649.1957625,43122.2158666,-2.8772041,-0.0822139,9.2745678,0.0000000
11.0843343,89648.2862128,43122.0309808,-2.9439995,-0.0758876,9.2630756,0.0000000
12.0422356,89647.3362948,43121.9075681,-3.0206336,-0.0831960,9.2615909,0.0000000
12.9777361,89646.4021430,43121.8573538,-3.1011850,-0.0866415,9.2701119,0.0000000
13.9141454,89645.4659036,43121.8751904,-3.1832652,-0.0889373,9.2990717,0.0000000
14.8522871,89644.5320498,43121.9647849,-3.2682516,-0.0891697,9.3316033,0.0000000
15.7892387,89643.6094060,43122.1278998,-3.3507201,-0.0847429,9.3565316,0.0000000
16.7232464,89642.7039849,43122.3572100,-3.4269699,-0.0780310,8.0905027,0.0000000
17.6535506,89641.8198646,43122.6466873,-3.4961695,-0.0699109,8.1267005,0.0000000
18.5860354,89640.9525596,43122.9891928,-3.5574296,-0.0628898,8.1644028,0.0000000
19.5256687,89640.0979331,43123.3797363,-3.6143905,-0.0585711,8.2059786,0.0000000
20.4614956,89639.2690915,43123.8142401,-3.6680319,-0.0541059,8.2520224,0.0000000
21.4250852,89638.4379850,43124.3018537,-3.7174332,-0.0491148,8.2997263,0.0000000
22.3985368,89637.6249656,43124.8372110,-3.7627537,-0.0443703,8.3613152,0.0000000
23.3786604,89636.8355432,43125.4181193,-3.8034459,-0.0398972,8.4118664,0.0000000
24.4107021,89636.0385075,43126.0737443,-3.8405847,-0.0362874,8.4538437,0.0000000
25.3921137,89635.3059187,43126.7268006,-3.8750074,-0.0319126,8.4679916,0.0000000
26.4004636,89634.5826325,43127.4293862,-3.9041126,-0.0276512,8.4451654,0.0000000
27.3649861,89633.9053754,43128.1161369,-3.9297370,-0.0266340,8.4561832,0.0000000
28.3439462,89633.2364210,43128.8308836,-3.9562507,-0.0275146,8.4906560,0.0000000
29.3228180,89632.5835213,43129.5602066,-3.9837121,-0.0272231,8.5407678,0.0000000
30.2863839,89631.9578648,43130.2930184,-4.0092623,-0.0247328,8.5932374,0.0000000
31.2467599,89631.3488643,43131.0356088,-4.0313872,-0.0217917,8.6543543,0.0000000
32.1948847,89630.7614737,43131.7798620,-4.0508979,-0.0192214,8.7160257,0.0000000
33.1557019,89630.1790298,43132.5440143,-4.0680511,-0.0160693,8.7662396,0.0000000
34.1140826,89629.6097843,43133.3150223,-4.0817517,-0.0118727,8.8190660,0.0000000
35.0695500,89629.0509393,43134.0900127,-4.0907883,-0.0070013,8.8577868,0.0000000
36.0240447,89628.4976961,43134.8678186,-4.0951288,-0.0027812,8.9010747,0.0000000
36.9903382,89627.9392495,43135.6564000,-4.0960884,0.0000670,8.9077461,0.0000000
37.9635148,89627.3766519,43136.4504759,-4.0949842,0.0017204,8.9207454,0.0000000
38.9384850,89626.8114241,43137.2448841,-4.0927346,0.0024457,8.9772937,0.0000000
39.9261961,89626.2367921,43138.0482342,-4.0901806,0.0026065,9.0265849,0.0000000
40.9251562,89625.6535075,43138.8592215,-4.0875559,0.0024576,9.0718594,0.0000000
41.9325448,89625.0631376,43139.6754905,-4.0852526,0.0019858,9.1202403,0.0000000
42.9443207,89624.4685979,43140.4941559,-4.0835489,0.0015021,9.1761775,0.0000000
43.9561879,89623.8728165,43141.3120311,-4.0822128,0.0011280,9.2188068,0.0000000
44.9714866,89623.2740120,43142.1319485,-4.0812636,0.0005858,9.2591977,0.0000000
45.9856853,89622.6753047,43142.9505745,-4.0810232,-0.0000242,9.2942903,0.0000000
46.9954992,89622.0793423,43143.7657757,-4.0813103,-0.0002929,9.3359489,0.0000000
48.0049384,89621.4839130,43144.5809023,-4.0816147,-0.0002183,9.3666891,0.0000000
49.0108726,89620.8907344,43145.3933325,-4.0817509,-0.0001663,9.3855358,0.0000000
50.0117726,89620.3005625,43146.2017247,-4.0819481,-0.0005940,9.4039029,0.0000000
