s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
0.0000000,89656.5596472,43128.6612523,-1.9347684,-0.0478546,9.4613810,0.0000000
0.9288846,89656.3080989,43127.7670767,-1.9776509,-0.0765731,9.4614242,0.0000000
1.8072338,89655.9971467,43126.9456109,-2.0692800,-0.1114097,9.4361035,0.0000000
2.7527926,89655.5761014,43126.0989691,-2.1728604,-0.1195492,9.4114066,0.0000000
3.7812144,89654.9973606,43125.2488453,-2.2796712,-0.1197780,9.3748847,0.0000000
4.7401404,89654.3620478,43124.5305719,-2.3855733,-0.1169166,9.3615940,0.0000000
5.6980162,89653.6450977,43123.8953486,-2.4901268,-0.1092609,9.3465106,0.0000000
6.5643646,89652.9355216,43123.3982959,-2.5847969,-0.0943285,9.3125017,0.0000000
7.5449065,89652.0797020,43122.9197200,-2.6632275,-0.0715017,9.2970729,0.0000000
8.5446711,89651.1656863,43122.5146216,-2.7174143,-0.0681072,9.2885699,0.0000000
9.5582154,89650.2147528,43122.1639116,-2.7914291,-0.0861419,9.2818445,0.0000000
10.6008151,89649.1957625,43121.9432919,-2.8772041,-0.0822139,9.2745678,0.0000000
11.5204080,89648.2862128,43121.8077542,-2.9439995,-0.0758876,9.2630756,0.0000000
12.4970707,89647.3120618,43121.7377558,-3.0206336,-0.0831960,9.2615909,0.0000000
13.4332100,89646.3759228,43121.7370676,-3.1011850,-0.0866415,9.2701119,0.0000000
14.3666799,89645.4442601,43121.7951259,-3.1832652,-0.0889373,9.2990717,0.0000000
15.3041819,89644.5142488,43121.9134005,-3.2682516,-0.0891697,9.3316033,0.0000000
16.2356562,89643.5996720,43122.0900180,-3.3507201,-0.0847429,9.3565316,0.0000000
17.1719071,89642.6924492,43122.3213458,-3.4269699,-0.0780310,8.0905027,0.0000000
18.1035857,89641.8032760,43122.5995473,-3.4961695,-0.0699109,8.1267005,0.0000000
19.0249389,89640.9377947,43122.9155120,-3.5574296,-0.0628898,8.1644028,0.0000000
19.9570173,89640.0762313,43123.2711505,-3.6143905,-0.0585711,8.2059786,0.0000000
20.8730630,89639.2485939,43123.6637777,-3.6680319,-0.0541059,8.2520224,0.0000000
21.8469836,89638.3868608,43124.1175808,-3.7174332,-0.0491148,8.2997263,0.0000000
22.8353413,89637.5431229,43124.6323209,-3.7627537,-0.0443703,8.3613152,0.0000000
23.8383603,89636.7250720,43125.2127000,-3.8034459,-0.0398972,8.4118664,0.0000000
24.9891836,89635.8459590,43125.9553672,-3.8405847,-0.0362874,8.4538437,0.0000000
25.9477431,89635.1439676,43126.6080879,-3.8750074,-0.0319126,8.4679916,0.0000000
26.9791692,89634.4356509,43127.3578393,-3.9041126,-0.0276512,8.4451654,0.0000000
27.9165738,89633.8032062,43128.0497506,-3.9297370,-0.0266340,8.4561832,0.0000000
28.8923834,89633.1652332,43128.7881237,-3.9562507,-0.0275146,8.4906560,0.0000000
29.8681112,89632.5380789,43129.5356010,-3.9837121,-0.0272231,8.5407678,0.0000000
30.8251425,89631.9331736,43130.2772198,-4.0092623,-0.0247328,8.5932374,0.0000000
31.7838099,89631.3361988,43131.0273292,-4.0313872,-0.0217917,8.6543543,0.0000000
32.7318675,89630.7552174,43131.7765114,-4.0508979,-0.0192214,8.7160257,0.0000000
33.6916804,89630.1765600,43132.5422766,-4.0680511,-0.0160693,8.7662396,0.0000000
34.6500497,89629.6088187,43133.3143787,-4.0817517,-0.0118727,8.8190660,0.0000000
35.6054793,89629.0506115,43134.0897820,-4.0907883,-0.0070013,8.8577868,0.0000000
36.5599780,89628.4975930,43134.8677526,-4.0951288,-0.0027812,8.9010747,0.0000000
37.5262665,89627.9392240,43135.6563828,-4.0960884,0.0000670,8.9077461,0.0000000
38.4994425,89627.3766483,43136.4504735,-4.0949842,0.0017204,8.9207454,0.0000000
39.4744125,89626.8114241,43137.2448841,-4.0927346,0.0024457,8.9772937,0.0000000
40.4621236,89626.2367921,43138.0482342,-4.0901806,0.0026065,9.0265849,0.0000000
41.4610838,89625.6535075,43138.8592215,-4.0875559,0.0024576,9.0718594,0.0000000
42.4684723,89625.0631376,43139.6754905,-4.0852526,0.0019858,9.1202403,0.0000000
43.4802482,89624.4685979,43140.4941559,-4.0835489,0.0015021,9.1761775,0.0000000
44.4921155,89623.8728165,43141.3120311,-4.0822128,0.0011280,9.2188068,0.0000000
45.5074141,89623.2740120,43142.1319485,-4.0812636,0.0005858,9.2591977,0.0000000
46.5216128,89622.6753047,43142.9505745,-4.0810232,-0.0000242,9.2942903,0.0000000
47.5314268,89622.0793423,43143.7657757,-4.0813103,-0.0002929,9.3359489,0.0000000
48.5408659,89621.4839130,43144.5809023,-4.0816147,-0.0002183,9.3666891,0.0000000
49.5468001,89620.8907344,43145.3933325,-4.0817509,-0.0001663,9.3855358,0.0000000
50.5477002,89620.3005625,43146.2017247,-4.0819481,-0.0005940,9.4039029,0.0000000
51.5463767,89619.7119816,43147.0085254,-4.0829370,-0.0021696,9.4372886,0.0000000
52.5403502,89619.1274799,43147.8124788,-4.0862604,-0.0049256,9.4906932,0.0000000
53.5404786,89618.5434424,43148.6243637,-4.0927787,-0.0073993,9.5287907,0.0000000
54.5389863,89617.9668349,43149.4395577,-4.1010461,-0.0094591,9.5675380,0.0000000
55.5349201,89617.3986965,43150.2575449,-4.1116385,-0.0136377,9.6187944,0.0000000
56.5312066,89616.8407732,43151.0829589,-4.1282184,-0.0206845,9.6670621,0.0000000
57.5253572,89616.3011208,43151.9178905,-4.1527939,-0.0287227,9.7100287,0.0000000
58.5144787,89615.7884177,43152.7637610,-4.1851460,-0.0371522,9.7607012,0.0000000
59.5015867,89615.3082053,43153.6261867,-4.2262095,-0.0460063,9.7984433,0.0000000
60.4873994,89614.8701763,43154.5093386,-4.2759057,-0.0537048,9.8275353,0.0000000
61.4676833,89614.4849955,43155.4107777,-4.3317254,-0.0610113,9.8536147,0.0000000
62.4399208,89614.1601632,43156.3271453,-4.3945447,-0.0710239,9.8612057,0.0000000
63.4092879,89613.9035454,43157.2619287,-4.4679674,-0.0809637,9.8471107,0.0000000
64.3104010,89613.6139929,43158.1152540,-4.5482411,-0.0901565,9.8218256,0.0000000
65.2367957,89613.4502944,43159.0270709,-4.6377782,-0.1043944,9.7883008,0.0000000
66.1624134,89613.3601339,43159.9482870,-4.7443130,-0.1205658,9.7335695,0.0000000
67.1227177,89613.3503018,43160.9085410,-4.8631341,-0.1371411,9.7130495,0.0000000
68.0481016,89613.4494529,43161.8285977,-4.9948028,-0.1600732,9.6591731,0.0000000
69.0028777,89613.6882233,43162.7530359,-5.1511056,-0.1784697,9.5619128,0.0000000
70.0150704,89614.1132168,43163.6716843,-5.3112163,-0.1799242,9.4525925,0.0000000
71.0257826,89614.7096073,43164.4876851,-5.4634725,-0.1875716,9.3839735,0.0000000
72.0606073,89615.4799004,43165.1787066,-5.6329257,-0.2144604,9.2778870,0.0000000
72.9118141,89616.2133253,43165.6107262,-5.8299807,-0.2301455,9.1197537,0.0000000
73.9751084,89617.2342939,43165.9077414,-6.0233815,-0.2146207,8.9320051,0.0000000
74.7998706,89618.0557344,43165.9816881,-6.1938869,-0.1929505,8.8018570,0.0000000
75.7877388,89619.0396261,43165.8931393,-6.3513741,-0.1840247,8.6671825,0.0000000
76.7111686,89619.9313627,43165.6532885,-6.5080562,-0.1709547,8.5732882,0.0000000
77.6151051,89620.7655879,43165.3051944,-6.6513648,-0.1448277,8.4673357,0.0000000
78.5105124,89621.5479444,43164.8696804,-6.7682031,-0.1231700,8.3930666,0.0000000
79.4255474,89622.3091784,43164.3619284,-6.8761737,-0.1124876,8.3762002,0.0000000
80.3598984,89622.9808859,43163.7124512,-6.9804354,-0.1041938,8.3850324,0.0000000
81.3179233,89623.6970066,43163.0760686,-7.0760289,-0.0915194,8.4159014,0.0000000
82.2860418,89624.3536720,43162.3647008,-7.1571955,-0.0777482,8.4691962,0.0000000
83.2513209,89624.9500342,43161.6056779,-7.2261893,-0.0634576,8.5126132,0.0000000
84.2231913,89625.4974314,43160.8026285,-7.2800144,-0.0470075,8.5647278,0.0000000
85.1957963,89626.0087411,43159.9752696,-7.3176074,-0.0342356,8.6257087,0.0000000
86.1723092,89626.4945535,43159.1281781,-7.3467213,-0.0263238,8.6911996,0.0000000
87.1420012,89626.9547368,43158.2746362,-7.3688894,-0.0198825,8.7244933,0.0000000
88.1163893,89627.4011011,43157.4085004,-7.3853479,-0.0150983,8.8007941,0.0000000
89.0907559,89627.8349481,43156.5360516,-7.3983130,-0.0116692,8.8445078,0.0000000
90.0694443,89628.2605085,43155.6547291,-7.4081244,-0.0086825,8.8791037,0.0000000
91.0527431,89628.6809371,43154.7658442,-7.4153356,-0.0066682,8.9392204,0.0000000
92.0437958,89629.0988512,43153.8672157,-7.4212794,-0.0055169,9.0101982,0.0000000
93.0439480,89629.5163643,43152.9583773,-7.4263125,-0.0045722,9.0801850,0.0000000
94.0470196,89629.9311428,43152.0450802,-7.4304370,-0.0032282,9.1266079,0.0000000
95.0458320,89630.3419431,43151.1346577,-7.4327839,-0.0006310,9.1870648,0.0000000
96.0447576,89630.7540340,43150.2246942,-7.4316969,0.0029072,9.2537976,0.0000000
97.0481181,89631.1745525,43149.3137076,-7.4269398,0.0062646,9.3165362,0.0000000
98.0542109,89631.6072034,43148.4053928,-7.4190812,0.0093677,9.3879421,0.0000000
99.0610610,89632.0548615,43147.5035340,-7.4080250,0.0119423,9.4500715,0.0000000
100.0668432,89632.5190706,43146.6112853,-7.3949202,0.0142319,9.5083375,0.0000000
101.0740784,89632.9997911,43145.7261692,-7.3792190,0.0187833,9.5509739,0.0000000
102.0821705,89633.4955853,43144.8484233,-7.3568370,0.0265001,9.6038738,0.0000000
103.1145984,89634.0223279,43143.9604764,-7.3252143,0.0353712,9.6433913,0.0000000
104.1270947,89634.5595772,43143.1022737,-7.2843772,0.0439441,9.6825499,0.0000000
105.1772472,89635.1465317,43142.2314667,-7.2349081,0.0537514,9.7258907,0.0000000
